Period,CDID,Seasonal Adjustment,Account Type,BOP Service,Value,Unit,Measure Type
quarter/2005-Q1,KTMS,NSA,Current Account,Trade in services,9688,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,KTMY,NSA,Current Account,Total trade,-8467,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-128,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,HMBM,NSA,Current Account,"Primary income,Investment income",5929,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,MT5W,NSA,Current Account,"Primary income,Other primary income",350,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,HMBP,NSA,Current Account,"Primary income,Total",6151,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,FJUQ,NSA,Current Account,"Secondary income,General government",-3973,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,FJUR,NSA,Current Account,"Secondary income,Other sectors",-334,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,KTNF,NSA,Current Account,"Secondary income,Total",-4307,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,HBOG,NSA,Current Account,Current balance,-6623,gbp-million,summary-of-balance-of-payments
quarter/2005-Q1,FKMJ,NSA,Current Account,Capital balance,274,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,LQCT,NSA,Current Account,Trade in goods,-17268,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,KTMS,NSA,Current Account,Trade in services,10029,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,KTMY,NSA,Current Account,Total trade,-7239,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-117,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,HMBM,NSA,Current Account,"Primary income,Investment income",6401,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,MT5W,NSA,Current Account,"Primary income,Other primary income",299,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,HMBP,NSA,Current Account,"Primary income,Total",6583,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,FJUQ,NSA,Current Account,"Secondary income,General government",-1990,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,FJUR,NSA,Current Account,"Secondary income,Other sectors",-80,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,KTNF,NSA,Current Account,"Secondary income,Total",-2070,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,HBOG,NSA,Current Account,Current balance,-2726,gbp-million,summary-of-balance-of-payments
quarter/2005-Q2,FKMJ,NSA,Current Account,Capital balance,27,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,LQCT,NSA,Current Account,Trade in goods,-19318,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,KTMS,NSA,Current Account,Trade in services,8798,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,KTMY,NSA,Current Account,Total trade,-10520,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-183,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,HMBM,NSA,Current Account,"Primary income,Investment income",4737,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,MT5W,NSA,Current Account,"Primary income,Other primary income",251,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,HMBP,NSA,Current Account,"Primary income,Total",4805,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,FJUQ,NSA,Current Account,"Secondary income,General government",-3201,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,FJUR,NSA,Current Account,"Secondary income,Other sectors",-479,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,KTNF,NSA,Current Account,"Secondary income,Total",-3680,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,HBOG,NSA,Current Account,Current balance,-9395,gbp-million,summary-of-balance-of-payments
quarter/2005-Q3,FKMJ,NSA,Current Account,Capital balance,-227,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,LQCT,NSA,Current Account,Trade in goods,-18031,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,KTMS,NSA,Current Account,Trade in services,11393,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,KTMY,NSA,Current Account,Total trade,-6638,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-182,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,HMBM,NSA,Current Account,"Primary income,Investment income",972,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,MT5W,NSA,Current Account,"Primary income,Other primary income",243,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,HMBP,NSA,Current Account,"Primary income,Total",1033,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,FJUQ,NSA,Current Account,"Secondary income,General government",-2047,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,FJUR,NSA,Current Account,"Secondary income,Other sectors",-400,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,KTNF,NSA,Current Account,"Secondary income,Total",-2447,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,HBOG,NSA,Current Account,Current balance,-8052,gbp-million,summary-of-balance-of-payments
quarter/2005-Q4,FKMJ,NSA,Current Account,Capital balance,-917,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,LQCT,NSA,Current Account,Trade in goods,-20752,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,KTMS,NSA,Current Account,Trade in services,12579,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,KTMY,NSA,Current Account,Total trade,-8173,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-188,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,HMBM,NSA,Current Account,"Primary income,Investment income",2241,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,MT5W,NSA,Current Account,"Primary income,Other primary income",290,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,HMBP,NSA,Current Account,"Primary income,Total",2343,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,FJUQ,NSA,Current Account,"Secondary income,General government",-3646,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,FJUR,NSA,Current Account,"Secondary income,Other sectors",-342,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,KTNF,NSA,Current Account,"Secondary income,Total",-3988,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,HBOG,NSA,Current Account,Current balance,-9818,gbp-million,summary-of-balance-of-payments
quarter/2006-Q1,FKMJ,NSA,Current Account,Capital balance,176,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,LQCT,NSA,Current Account,Trade in goods,-18637,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,KTMS,NSA,Current Account,Trade in services,10382,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,KTMY,NSA,Current Account,Total trade,-8255,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-251,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,HMBM,NSA,Current Account,"Primary income,Investment income",321,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,MT5W,NSA,Current Account,"Primary income,Other primary income",155,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,HMBP,NSA,Current Account,"Primary income,Total",225,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,FJUQ,NSA,Current Account,"Secondary income,General government",-2079,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,FJUR,NSA,Current Account,"Secondary income,Other sectors",-340,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,KTNF,NSA,Current Account,"Secondary income,Total",-2419,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,HBOG,NSA,Current Account,Current balance,-10449,gbp-million,summary-of-balance-of-payments
quarter/2006-Q2,FKMJ,NSA,Current Account,Capital balance,-1587,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,LQCT,NSA,Current Account,Trade in goods,-21537,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,KTMS,NSA,Current Account,Trade in services,12875,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,KTMY,NSA,Current Account,Total trade,-8662,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-275,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,HMBM,NSA,Current Account,"Primary income,Investment income",171,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,MT5W,NSA,Current Account,"Primary income,Other primary income",194,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,HMBP,NSA,Current Account,"Primary income,Total",90,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,FJUQ,NSA,Current Account,"Secondary income,General government",-2821,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,FJUR,NSA,Current Account,"Secondary income,Other sectors",166,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,KTNF,NSA,Current Account,"Secondary income,Total",-2655,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,HBOG,NSA,Current Account,Current balance,-11227,gbp-million,summary-of-balance-of-payments
quarter/2006-Q3,FKMJ,NSA,Current Account,Capital balance,-92,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,LQCT,NSA,Current Account,Trade in goods,-20233,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,KTMS,NSA,Current Account,Trade in services,14913,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,KTMY,NSA,Current Account,Total trade,-5320,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-244,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,HMBM,NSA,Current Account,"Primary income,Investment income",-1394,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,MT5W,NSA,Current Account,"Primary income,Other primary income",173,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,HMBP,NSA,Current Account,"Primary income,Total",-1465,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,FJUQ,NSA,Current Account,"Secondary income,General government",-3036,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,FJUR,NSA,Current Account,"Secondary income,Other sectors",-173,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,KTNF,NSA,Current Account,"Secondary income,Total",-3209,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,HBOG,NSA,Current Account,Current balance,-9994,gbp-million,summary-of-balance-of-payments
quarter/2006-Q4,FKMJ,NSA,Current Account,Capital balance,-24,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,LQCT,NSA,Current Account,Trade in goods,-23308,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,KTMS,NSA,Current Account,Trade in services,15973,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,KTMY,NSA,Current Account,Total trade,-7335,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-187,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,HMBM,NSA,Current Account,"Primary income,Investment income",-479,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,MT5W,NSA,Current Account,"Primary income,Other primary income",237,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,HMBP,NSA,Current Account,"Primary income,Total",-429,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,FJUQ,NSA,Current Account,"Secondary income,General government",-3567,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,FJUR,NSA,Current Account,"Secondary income,Other sectors",-410,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,KTNF,NSA,Current Account,"Secondary income,Total",-3977,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,HBOG,NSA,Current Account,Current balance,-11741,gbp-million,summary-of-balance-of-payments
quarter/2007-Q1,FKMJ,NSA,Current Account,Capital balance,-164,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,LQCT,NSA,Current Account,Trade in goods,-20518,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,KTMS,NSA,Current Account,Trade in services,14297,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,KTMY,NSA,Current Account,Total trade,-6221,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-150,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,HMBM,NSA,Current Account,"Primary income,Investment income",-1741,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,MT5W,NSA,Current Account,"Primary income,Other primary income",138,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,HMBP,NSA,Current Account,"Primary income,Total",-1753,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,FJUQ,NSA,Current Account,"Secondary income,General government",-2143,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,FJUR,NSA,Current Account,"Secondary income,Other sectors",-518,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,KTNF,NSA,Current Account,"Secondary income,Total",-2661,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,HBOG,NSA,Current Account,Current balance,-10635,gbp-million,summary-of-balance-of-payments
quarter/2007-Q2,FKMJ,NSA,Current Account,Capital balance,-611,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,LQCT,NSA,Current Account,Trade in goods,-25253,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,KTMS,NSA,Current Account,Trade in services,13939,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,KTMY,NSA,Current Account,Total trade,-11314,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-223,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,HMBM,NSA,Current Account,"Primary income,Investment income",-1914,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,MT5W,NSA,Current Account,"Primary income,Other primary income",76,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,HMBP,NSA,Current Account,"Primary income,Total",-2061,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,FJUQ,NSA,Current Account,"Secondary income,General government",-2627,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,FJUR,NSA,Current Account,"Secondary income,Other sectors",-301,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,KTNF,NSA,Current Account,"Secondary income,Total",-2928,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,HBOG,NSA,Current Account,Current balance,-16303,gbp-million,summary-of-balance-of-payments
quarter/2007-Q3,FKMJ,NSA,Current Account,Capital balance,28,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,LQCT,NSA,Current Account,Trade in goods,-23354,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,KTMS,NSA,Current Account,Trade in services,16520,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,KTMY,NSA,Current Account,Total trade,-6834,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-174,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,HMBM,NSA,Current Account,"Primary income,Investment income",-3181,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,MT5W,NSA,Current Account,"Primary income,Other primary income",83,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,HMBP,NSA,Current Account,"Primary income,Total",-3272,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,FJUQ,NSA,Current Account,"Secondary income,General government",-3617,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,FJUR,NSA,Current Account,"Secondary income,Other sectors",-256,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,KTNF,NSA,Current Account,"Secondary income,Total",-3873,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,HBOG,NSA,Current Account,Current balance,-13979,gbp-million,summary-of-balance-of-payments
quarter/2007-Q4,FKMJ,NSA,Current Account,Capital balance,497,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,LQCT,NSA,Current Account,Trade in goods,-24392,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,KTMS,NSA,Current Account,Trade in services,14022,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,KTMY,NSA,Current Account,Total trade,-10370,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-140,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,HMBM,NSA,Current Account,"Primary income,Investment income",2367,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,MT5W,NSA,Current Account,"Primary income,Other primary income",117,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,HMBP,NSA,Current Account,"Primary income,Total",2344,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,FJUQ,NSA,Current Account,"Secondary income,General government",-4479,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,FJUR,NSA,Current Account,"Secondary income,Other sectors",-566,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,KTNF,NSA,Current Account,"Secondary income,Total",-5045,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,HBOG,NSA,Current Account,Current balance,-13071,gbp-million,summary-of-balance-of-payments
quarter/2008-Q1,FKMJ,NSA,Current Account,Capital balance,260,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,LQCT,NSA,Current Account,Trade in goods,-23996,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,KTMS,NSA,Current Account,Trade in services,14836,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,KTMY,NSA,Current Account,Total trade,-9160,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-187,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,HMBM,NSA,Current Account,"Primary income,Investment income",-4273,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,MT5W,NSA,Current Account,"Primary income,Other primary income",103,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,HMBP,NSA,Current Account,"Primary income,Total",-4357,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,FJUQ,NSA,Current Account,"Secondary income,General government",-2353,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,FJUR,NSA,Current Account,"Secondary income,Other sectors",-652,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,KTNF,NSA,Current Account,"Secondary income,Total",-3005,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,HBOG,NSA,Current Account,Current balance,-16522,gbp-million,summary-of-balance-of-payments
quarter/2008-Q2,FKMJ,NSA,Current Account,Capital balance,-32,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,LQCT,NSA,Current Account,Trade in goods,-23976,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,KTMS,NSA,Current Account,Trade in services,13616,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,KTMY,NSA,Current Account,Total trade,-10360,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-181,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,HMBM,NSA,Current Account,"Primary income,Investment income",-1040,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,MT5W,NSA,Current Account,"Primary income,Other primary income",78,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,HMBP,NSA,Current Account,"Primary income,Total",-1143,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,FJUQ,NSA,Current Account,"Secondary income,General government",-2425,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,FJUR,NSA,Current Account,"Secondary income,Other sectors",-733,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,KTNF,NSA,Current Account,"Secondary income,Total",-3158,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,HBOG,NSA,Current Account,Current balance,-14661,gbp-million,summary-of-balance-of-payments
quarter/2008-Q3,FKMJ,NSA,Current Account,Capital balance,-82,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,LQCT,NSA,Current Account,Trade in goods,-22279,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,KTMS,NSA,Current Account,Trade in services,19202,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,KTMY,NSA,Current Account,Total trade,-3077,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-207,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,HMBM,NSA,Current Account,"Primary income,Investment income",-12010,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,MT5W,NSA,Current Account,"Primary income,Other primary income",65,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,HMBP,NSA,Current Account,"Primary income,Total",-12152,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,FJUQ,NSA,Current Account,"Secondary income,General government",-1969,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,FJUR,NSA,Current Account,"Secondary income,Other sectors",-385,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,KTNF,NSA,Current Account,"Secondary income,Total",-2354,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,HBOG,NSA,Current Account,Current balance,-17583,gbp-million,summary-of-balance-of-payments
quarter/2008-Q4,FKMJ,NSA,Current Account,Capital balance,-75,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,LQCT,NSA,Current Account,Trade in goods,-23084,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,KTMS,NSA,Current Account,Trade in services,18147,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,KTMY,NSA,Current Account,Total trade,-4937,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-28,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,HMBM,NSA,Current Account,"Primary income,Investment income",-5425,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,MT5W,NSA,Current Account,"Primary income,Other primary income",132,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,HMBP,NSA,Current Account,"Primary income,Total",-5321,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,FJUQ,NSA,Current Account,"Secondary income,General government",-4180,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,FJUR,NSA,Current Account,"Secondary income,Other sectors",-571,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,KTNF,NSA,Current Account,"Secondary income,Total",-4751,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,HBOG,NSA,Current Account,Current balance,-15009,gbp-million,summary-of-balance-of-payments
quarter/2009-Q1,FKMJ,NSA,Current Account,Capital balance,106,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,LQCT,NSA,Current Account,Trade in goods,-21504,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,KTMS,NSA,Current Account,Trade in services,16750,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,KTMY,NSA,Current Account,Total trade,-4754,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-32,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,HMBM,NSA,Current Account,"Primary income,Investment income",-6737,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,MT5W,NSA,Current Account,"Primary income,Other primary income",259,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,HMBP,NSA,Current Account,"Primary income,Total",-6510,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,FJUQ,NSA,Current Account,"Secondary income,General government",-3103,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,FJUR,NSA,Current Account,"Secondary income,Other sectors",-610,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,KTNF,NSA,Current Account,"Secondary income,Total",-3713,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,HBOG,NSA,Current Account,Current balance,-14977,gbp-million,summary-of-balance-of-payments
quarter/2009-Q2,FKMJ,NSA,Current Account,Capital balance,-153,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,LQCT,NSA,Current Account,Trade in goods,-22538,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,KTMS,NSA,Current Account,Trade in services,13945,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,KTMY,NSA,Current Account,Total trade,-8593,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-108,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,HMBM,NSA,Current Account,"Primary income,Investment income",1749,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,MT5W,NSA,Current Account,"Primary income,Other primary income",182,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,HMBP,NSA,Current Account,"Primary income,Total",1823,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,FJUQ,NSA,Current Account,"Secondary income,General government",-2879,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,FJUR,NSA,Current Account,"Secondary income,Other sectors",-578,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,KTNF,NSA,Current Account,"Secondary income,Total",-3457,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,HBOG,NSA,Current Account,Current balance,-10227,gbp-million,summary-of-balance-of-payments
quarter/2009-Q3,FKMJ,NSA,Current Account,Capital balance,114,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,LQCT,NSA,Current Account,Trade in goods,-21085,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,KTMS,NSA,Current Account,Trade in services,16416,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,KTMY,NSA,Current Account,Total trade,-4669,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-91,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,HMBM,NSA,Current Account,"Primary income,Investment income",-2197,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,MT5W,NSA,Current Account,"Primary income,Other primary income",181,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,HMBP,NSA,Current Account,"Primary income,Total",-2107,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,FJUQ,NSA,Current Account,"Secondary income,General government",-2812,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,FJUR,NSA,Current Account,"Secondary income,Other sectors",-459,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,KTNF,NSA,Current Account,"Secondary income,Total",-3271,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,HBOG,NSA,Current Account,Current balance,-10047,gbp-million,summary-of-balance-of-payments
quarter/2009-Q4,FKMJ,NSA,Current Account,Capital balance,-8,gbp-million,summary-of-balance-of-payments
quarter/2010-Q1,LQCT,NSA,Current Account,Trade in goods,-22768,gbp-million,summary-of-balance-of-payments
quarter/2010-Q1,KTMS,NSA,Current Account,Trade in services,15927,gbp-million,summary-of-balance-of-payments
quarter/2010-Q1,KTMY,NSA,Current Account,Total trade,-6841,gbp-million,summary-of-balance-of-payments
quarter/2010-Q1,KTMP,NSA,Current Account,"Primary income,Compensation of employees",-45,gbp-million,summary-of-balance-of-payments
quarter/2010-Q1,HMBM,NSA,Current Account,"Primary income,Investment income",1044,gbp-million,summary-of-balance-of-payments
quarter/2010-Q1,MT5W,NSA,Current Account,"Primary income,Other primary income",199,gbp-million,summary-of-balance-of-payments
quarter/2010-Q1,HMBP,NSA,Current Account,"Primary income,Total",1198,gbp-million,summary-of-balance-of-payments
