Period,CDID,Seasonal Adjustment,Account Type,BOP Service,Value,Unit,Measure Type
year/2006,HBOP,SA,Current Account,Current balance,-41488,gbp-million,summary-of-balance-of-payments
year/2006,FNVQ,SA,Current Account,Capital balance,-1527,gbp-million,summary-of-balance-of-payments
year/2007,BOKI,SA,Current Account,Trade in goods,-92433,gbp-million,summary-of-balance-of-payments
year/2007,IKBD,SA,Current Account,Trade in services,60729,gbp-million,summary-of-balance-of-payments
year/2007,IKBJ,SA,Current Account,Total trade,-31704,gbp-million,summary-of-balance-of-payments
year/2007,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-734,gbp-million,summary-of-balance-of-payments
year/2007,HBOM,SA,Current Account,"Primary income,Investment income",-7315,gbp-million,summary-of-balance-of-payments
year/2007,MT5X,SA,Current Account,"Primary income,Other primary income",534,gbp-million,summary-of-balance-of-payments
year/2007,HBOJ,SA,Current Account,"Primary income,Total",-7515,gbp-million,summary-of-balance-of-payments
year/2007,FNSV,SA,Current Account,"Secondary income,General government",-11954,gbp-million,summary-of-balance-of-payments
year/2007,FNTC,SA,Current Account,"Secondary income,Other sectors",-1485,gbp-million,summary-of-balance-of-payments
year/2007,IKBP,SA,Current Account,"Secondary income,Total",-13439,gbp-million,summary-of-balance-of-payments
year/2007,HBOP,SA,Current Account,Current balance,-52658,gbp-million,summary-of-balance-of-payments
year/2007,FNVQ,SA,Current Account,Capital balance,-250,gbp-million,summary-of-balance-of-payments
year/2008,BOKI,SA,Current Account,Trade in goods,-94643,gbp-million,summary-of-balance-of-payments
year/2008,IKBD,SA,Current Account,Trade in services,61676,gbp-million,summary-of-balance-of-payments
year/2008,IKBJ,SA,Current Account,Total trade,-32967,gbp-million,summary-of-balance-of-payments
year/2008,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-715,gbp-million,summary-of-balance-of-payments
year/2008,HBOM,SA,Current Account,"Primary income,Investment income",-14956,gbp-million,summary-of-balance-of-payments
year/2008,MT5X,SA,Current Account,"Primary income,Other primary income",363,gbp-million,summary-of-balance-of-payments
year/2008,HBOJ,SA,Current Account,"Primary income,Total",-15308,gbp-million,summary-of-balance-of-payments
year/2008,FNSV,SA,Current Account,"Secondary income,General government",-11226,gbp-million,summary-of-balance-of-payments
year/2008,FNTC,SA,Current Account,"Secondary income,Other sectors",-2336,gbp-million,summary-of-balance-of-payments
year/2008,IKBP,SA,Current Account,"Secondary income,Total",-13562,gbp-million,summary-of-balance-of-payments
year/2008,HBOP,SA,Current Account,Current balance,-61837,gbp-million,summary-of-balance-of-payments
year/2008,FNVQ,SA,Current Account,Capital balance,71,gbp-million,summary-of-balance-of-payments
year/2009,BOKI,SA,Current Account,Trade in goods,-88211,gbp-million,summary-of-balance-of-payments
year/2009,IKBD,SA,Current Account,Trade in services,65258,gbp-million,summary-of-balance-of-payments
year/2009,IKBJ,SA,Current Account,Total trade,-22953,gbp-million,summary-of-balance-of-payments
year/2009,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-259,gbp-million,summary-of-balance-of-payments
year/2009,HBOM,SA,Current Account,"Primary income,Investment income",-12610,gbp-million,summary-of-balance-of-payments
year/2009,MT5X,SA,Current Account,"Primary income,Other primary income",754,gbp-million,summary-of-balance-of-payments
year/2009,HBOJ,SA,Current Account,"Primary income,Total",-12115,gbp-million,summary-of-balance-of-payments
year/2009,FNSV,SA,Current Account,"Secondary income,General government",-12974,gbp-million,summary-of-balance-of-payments
year/2009,FNTC,SA,Current Account,"Secondary income,Other sectors",-2218,gbp-million,summary-of-balance-of-payments
year/2009,IKBP,SA,Current Account,"Secondary income,Total",-15192,gbp-million,summary-of-balance-of-payments
year/2009,HBOP,SA,Current Account,Current balance,-50260,gbp-million,summary-of-balance-of-payments
year/2009,FNVQ,SA,Current Account,Capital balance,59,gbp-million,summary-of-balance-of-payments
year/2010,BOKI,SA,Current Account,Trade in goods,-98204,gbp-million,summary-of-balance-of-payments
year/2010,IKBD,SA,Current Account,Trade in services,67987,gbp-million,summary-of-balance-of-payments
year/2010,IKBJ,SA,Current Account,Total trade,-30217,gbp-million,summary-of-balance-of-payments
year/2010,IJAJ,SA,Current Account,"Primary income,Compensation of employees",-389,gbp-million,summary-of-balance-of-payments
year/2010,HBOM,SA,Current Account,"Primary income,Investment income",939,gbp-million,summary-of-balance-of-payments
year/2010,MT5X,SA,Current Account,"Primary income,Other primary income",115,gbp-million,summary-of-balance-of-payments
year/2010,HBOJ,SA,Current Account,"Primary income,Total",665,gbp-million,summary-of-balance-of-payments
year/2010,FNSV,SA,Current Account,"Secondary income,General government",-17045,gbp-million,summary-of-balance-of-payments
year/2010,FNTC,SA,Current Account,"Secondary income,Other sectors",-2902,gbp-million,summary-of-balance-of-payments
year/2010,IKBP,SA,Current Account,"Secondary income,Total",-19947,gbp-million,summary-of-balance-of-payments
