Period,CDID,Seasonal Adjustment,Account Type,BOP Service,Value,Unit,Measure Type
year/2004,FHDM,SA,Credits,Secondary income Central government,707,gbp-million,current-account
year/2004,FHIB,SA,Credits,Secondary income Other sectors,8868,gbp-million,current-account
year/2004,IKBN,SA,Credits,Secondary income Total,9575,gbp-million,current-account
year/2004,HBON,SA,Credits,Total credits,469803,gbp-million,current-account
year/2005,BOKG,SA,Credits,Exports of goods,213448,gbp-million,current-account
year/2005,IKBB,SA,Credits,Exports of services,137268,gbp-million,current-account
year/2005,IKBH,SA,Credits,Total exports,350716,gbp-million,current-account
year/2005,IJAH,SA,Credits,Primary income Compensation of employees,974,gbp-million,current-account
year/2005,HBOK,SA,Credits,Primary income Investment income,191672,gbp-million,current-account
year/2005,MT5T,SA,Credits,Primary income Other primary income,3411,gbp-million,current-account
year/2005,HBOH,SA,Credits,Primary income Total,196057,gbp-million,current-account
year/2005,FHDM,SA,Credits,Secondary income Central government,730,gbp-million,current-account
year/2005,FHIB,SA,Credits,Secondary income Other sectors,11026,gbp-million,current-account
year/2005,IKBN,SA,Credits,Secondary income Total,11756,gbp-million,current-account
year/2005,HBON,SA,Credits,Total credits,558529,gbp-million,current-account
year/2006,BOKG,SA,Credits,Exports of goods,247231,gbp-million,current-account
year/2006,IKBB,SA,Credits,Exports of services,155532,gbp-million,current-account
year/2006,IKBH,SA,Credits,Total exports,402763,gbp-million,current-account
year/2006,IJAH,SA,Credits,Primary income Compensation of employees,938,gbp-million,current-account
year/2006,HBOK,SA,Credits,Primary income Investment income,247067,gbp-million,current-account
year/2006,MT5T,SA,Credits,Primary income Other primary income,3217,gbp-million,current-account
year/2006,HBOH,SA,Credits,Primary income Total,251222,gbp-million,current-account
year/2006,FHDM,SA,Credits,Secondary income Central government,901,gbp-million,current-account
year/2006,FHIB,SA,Credits,Secondary income Other sectors,16227,gbp-million,current-account
year/2006,IKBN,SA,Credits,Secondary income Total,17128,gbp-million,current-account
year/2006,HBON,SA,Credits,Total credits,671113,gbp-million,current-account
year/2007,BOKG,SA,Credits,Exports of goods,223810,gbp-million,current-account
year/2007,IKBB,SA,Credits,Exports of services,169600,gbp-million,current-account
year/2007,IKBH,SA,Credits,Total exports,393410,gbp-million,current-account
year/2007,IJAH,SA,Credits,Primary income Compensation of employees,984,gbp-million,current-account
year/2007,HBOK,SA,Credits,Primary income Investment income,305793,gbp-million,current-account
year/2007,MT5T,SA,Credits,Primary income Other primary income,2949,gbp-million,current-account
year/2007,HBOH,SA,Credits,Primary income Total,309726,gbp-million,current-account
year/2007,FHDM,SA,Credits,Secondary income Central government,885,gbp-million,current-account
year/2007,FHIB,SA,Credits,Secondary income Other sectors,9934,gbp-million,current-account
year/2007,IKBN,SA,Credits,Secondary income Total,10819,gbp-million,current-account
year/2007,HBON,SA,Credits,Total credits,713955,gbp-million,current-account
year/2008,BOKG,SA,Credits,Exports of goods,253042,gbp-million,current-account
year/2008,IKBB,SA,Credits,Exports of services,179894,gbp-million,current-account
year/2008,IKBH,SA,Credits,Total exports,432936,gbp-million,current-account
year/2008,IJAH,SA,Credits,Primary income Compensation of employees,1046,gbp-million,current-account
year/2008,HBOK,SA,Credits,Primary income Investment income,288081,gbp-million,current-account
year/2008,MT5T,SA,Credits,Primary income Other primary income,3052,gbp-million,current-account
year/2008,HBOH,SA,Credits,Primary income Total,292179,gbp-million,current-account
year/2008,FHDM,SA,Credits,Secondary income Central government,867,gbp-million,current-account
year/2008,FHIB,SA,Credits,Secondary income Other sectors,15080,gbp-million,current-account
year/2008,IKBN,SA,Credits,Secondary income Total,15947,gbp-million,current-account
year/2008,HBON,SA,Credits,Total credits,741062,gbp-million,current-account
year/2009,BOKG,SA,Credits,Exports of goods,227741,gbp-million,current-account
year/2009,IKBB,SA,Credits,Exports of services,182564,gbp-million,current-account
year/2009,IKBH,SA,Credits,Total exports,410305,gbp-million,current-account
year/2009,IJAH,SA,Credits,Primary income Compensation of employees,1176,gbp-million,current-account
year/2009,HBOK,SA,Credits,Primary income Investment income,176028,gbp-million,current-account
year/2009,MT5T,SA,Credits,Primary income Other primary income,3409,gbp-million,current-account
year/2009,HBOH,SA,Credits,Primary income Total,180613,gbp-million,current-account
year/2009,FHDM,SA,Credits,Secondary income Central government,891,gbp-million,current-account
year/2009,FHIB,SA,Credits,Secondary income Other sectors,11223,gbp-million,current-account
year/2009,IKBN,SA,Credits,Secondary income Total,12114,gbp-million,current-account
year/2009,HBON,SA,Credits,Total credits,603032,gbp-million,current-account
year/2010,BOKG,SA,Credits,Exports of goods,265673,gbp-million,current-account
year/2010,IKBB,SA,Credits,Exports of services,188804,gbp-million,current-account
year/2010,IKBH,SA,Credits,Total exports,454477,gbp-million,current-account
year/2010,IJAH,SA,Credits,Primary income Compensation of employees,1097,gbp-million,current-account
year/2010,HBOK,SA,Credits,Primary income Investment income,174550,gbp-million,current-account
year/2010,MT5T,SA,Credits,Primary income Other primary income,3060,gbp-million,current-account
year/2010,HBOH,SA,Credits,Primary income Total,178707,gbp-million,current-account
year/2010,FHDM,SA,Credits,Secondary income Central government,809,gbp-million,current-account
year/2010,FHIB,SA,Credits,Secondary income Other sectors,12402,gbp-million,current-account
year/2010,IKBN,SA,Credits,Secondary income Total,13211,gbp-million,current-account
year/2010,HBON,SA,Credits,Total credits,646395,gbp-million,current-account
year/2011,BOKG,SA,Credits,Exports of goods,302288,gbp-million,current-account
year/2011,IKBB,SA,Credits,Exports of services,210482,gbp-million,current-account
year/2011,IKBH,SA,Credits,Total exports,512770,gbp-million,current-account
year/2011,IJAH,SA,Credits,Primary income Compensation of employees,1121,gbp-million,current-account
year/2011,HBOK,SA,Credits,Primary income Investment income,200607,gbp-million,current-account
year/2011,MT5T,SA,Credits,Primary income Other primary income,3164,gbp-million,current-account
year/2011,HBOH,SA,Credits,Primary income Total,204892,gbp-million,current-account
year/2011,FHDM,SA,Credits,Secondary income Central government,404,gbp-million,current-account
year/2011,FHIB,SA,Credits,Secondary income Other sectors,11519,gbp-million,current-account
year/2011,IKBN,SA,Credits,Secondary income Total,11923,gbp-million,current-account
year/2011,HBON,SA,Credits,Total credits,729585,gbp-million,current-account
year/2012,BOKG,SA,Credits,Exports of goods,298360,gbp-million,current-account
year/2012,IKBB,SA,Credits,Exports of services,216960,gbp-million,current-account
year/2012,IKBH,SA,Credits,Total exports,515320,gbp-million,current-account
year/2012,IJAH,SA,Credits,Primary income Compensation of employees,1124,gbp-million,current-account
year/2012,HBOK,SA,Credits,Primary income Investment income,171162,gbp-million,current-account
year/2012,MT5T,SA,Credits,Primary income Other primary income,2627,gbp-million,current-account
year/2012,HBOH,SA,Credits,Primary income Total,174913,gbp-million,current-account
year/2012,FHDM,SA,Credits,Secondary income Central government,630,gbp-million,current-account
year/2012,FHIB,SA,Credits,Secondary income Other sectors,13732,gbp-million,current-account
year/2012,IKBN,SA,Credits,Secondary income Total,14362,gbp-million,current-account
year/2012,HBON,SA,Credits,Total credits,704595,gbp-million,current-account
year/2013,BOKG,SA,Credits,Exports of goods,299462,gbp-million,current-account
year/2013,IKBB,SA,Credits,Exports of services,234430,gbp-million,current-account
year/2013,IKBH,SA,Credits,Total exports,533892,gbp-million,current-account
year/2013,IJAH,SA,Credits,Primary income Compensation of employees,1094,gbp-million,current-account
year/2013,HBOK,SA,Credits,Primary income Investment income,157795,gbp-million,current-account
year/2013,MT5T,SA,Credits,Primary income Other primary income,2452,gbp-million,current-account
year/2013,HBOH,SA,Credits,Primary income Total,161341,gbp-million,current-account
year/2013,FHDM,SA,Credits,Secondary income Central government,651,gbp-million,current-account
year/2013,FHIB,SA,Credits,Secondary income Other sectors,16843,gbp-million,current-account
year/2013,IKBN,SA,Credits,Secondary income Total,17494,gbp-million,current-account
year/2013,HBON,SA,Credits,Total credits,712727,gbp-million,current-account
year/2014,BOKG,SA,Credits,Exports of goods,288783,gbp-million,current-account
year/2014,IKBB,SA,Credits,Exports of services,238603,gbp-million,current-account
year/2014,IKBH,SA,Credits,Total exports,527386,gbp-million,current-account
year/2014,IJAH,SA,Credits,Primary income Compensation of employees,1082,gbp-million,current-account
year/2014,HBOK,SA,Credits,Primary income Investment income,142450,gbp-million,current-account
year/2014,MT5T,SA,Credits,Primary income Other primary income,2306,gbp-million,current-account
year/2014,HBOH,SA,Credits,Primary income Total,145838,gbp-million,current-account
year/2014,FHDM,SA,Credits,Secondary income Central government,696,gbp-million,current-account
year/2014,FHIB,SA,Credits,Secondary income Other sectors,15492,gbp-million,current-account
year/2014,IKBN,SA,Credits,Secondary income Total,16188,gbp-million,current-account
year/2014,HBON,SA,Credits,Total credits,689412,gbp-million,current-account
year/2015,BOKG,SA,Credits,Exports of goods,280395,gbp-million,current-account
year/2015,IKBB,SA,Credits,Exports of services,245688,gbp-million,current-account
year/2015,IKBH,SA,Credits,Total exports,526083,gbp-million,current-account
year/2015,IJAH,SA,Credits,Primary income Compensation of employees,1295,gbp-million,current-account
year/2015,HBOK,SA,Credits,Primary income Investment income,132242,gbp-million,current-account
year/2015,MT5T,SA,Credits,Primary income Other primary income,1956,gbp-million,current-account
year/2015,HBOH,SA,Credits,Primary income Total,135493,gbp-million,current-account
year/2015,FHDM,SA,Credits,Secondary income Central government,609,gbp-million,current-account
year/2015,FHIB,SA,Credits,Secondary income Other sectors,15732,gbp-million,current-account
year/2015,IKBN,SA,Credits,Secondary income Total,16341,gbp-million,current-account
year/2015,HBON,SA,Credits,Total credits,677917,gbp-million,current-account
year/2016,BOKG,SA,Credits,Exports of goods,297909,gbp-million,current-account
year/2016,IKBB,SA,Credits,Exports of services,271202,gbp-million,current-account
year/2016,IKBH,SA,Credits,Total exports,569111,gbp-million,current-account
year/2016,IJAH,SA,Credits,Primary income Compensation of employees,1375,gbp-million,current-account
year/2016,HBOK,SA,Credits,Primary income Investment income,134290,gbp-million,current-account
year/2016,MT5T,SA,Credits,Primary income Other primary income,2431,gbp-million,current-account
year/2016,HBOH,SA,Credits,Primary income Total,138096,gbp-million,current-account
year/2016,FHDM,SA,Credits,Secondary income Central government,911,gbp-million,current-account
year/2016,FHIB,SA,Credits,Secondary income Other sectors,16085,gbp-million,current-account
year/2016,IKBN,SA,Credits,Secondary income Total,16996,gbp-million,current-account
year/2016,HBON,SA,Credits,Total credits,724203,gbp-million,current-account
year/2017,BOKG,SA,Credits,Exports of goods,337940,gbp-million,current-account
year/2017,IKBB,SA,Credits,Exports of services,292161,gbp-million,current-account
year/2017,IKBH,SA,Credits,Total exports,630101,gbp-million,current-account
year/2017,IJAH,SA,Credits,Primary income Compensation of employees,1321,gbp-million,current-account
year/2017,HBOK,SA,Credits,Primary income Investment income,183991,gbp-million,current-account
year/2017,MT5T,SA,Credits,Primary income Other primary income,2185,gbp-million,current-account
year/2017,HBOH,SA,Credits,Primary income Total,187497,gbp-million,current-account
year/2017,FHDM,SA,Credits,Secondary income Central government,1029,gbp-million,current-account
year/2017,FHIB,SA,Credits,Secondary income Other sectors,16679,gbp-million,current-account
year/2017,IKBN,SA,Credits,Secondary income Total,17708,gbp-million,current-account
year/2017,HBON,SA,Credits,Total credits,835306,gbp-million,current-account
year/2018,BOKG,SA,Credits,Exports of goods,350844,gbp-million,current-account
year/2018,IKBB,SA,Credits,Exports of services,312481,gbp-million,current-account
year/2018,IKBH,SA,Credits,Total exports,663325,gbp-million,current-account
year/2018,IJAH,SA,Credits,Primary income Compensation of employees,1262,gbp-million,current-account
year/2018,HBOK,SA,Credits,Primary income Investment income,215293,gbp-million,current-account
year/2018,MT5T,SA,Credits,Primary income Other primary income,2203,gbp-million,current-account
year/2018,HBOH,SA,Credits,Primary income Total,218758,gbp-million,current-account
year/2018,FHDM,SA,Credits,Secondary income Central government,760,gbp-million,current-account
year/2018,FHIB,SA,Credits,Secondary income Other sectors,17973,gbp-million,current-account
year/2018,IKBN,SA,Credits,Secondary income Total,18733,gbp-million,current-account
year/2018,HBON,SA,Credits,Total credits,900816,gbp-million,current-account
year/2019,BOKG,SA,Credits,Exports of goods,371955,gbp-million,current-account
year/2019,IKBB,SA,Credits,Exports of services,327295,gbp-million,current-account
year/2019,IKBH,SA,Credits,Total exports,699250,gbp-million,current-account
year/2019,IJAH,SA,Credits,Primary income Compensation of employees,1336,gbp-million,current-account
year/2019,HBOK,SA,Credits,Primary income Investment income,214140,gbp-million,current-account
year/2019,MT5T,SA,Credits,Primary income Other primary income,2188,gbp-million,current-account
year/2019,HBOH,SA,Credits,Primary income Total,217664,gbp-million,current-account
year/2019,FHDM,SA,Credits,Secondary income Central government,918,gbp-million,current-account
year/2019,FHIB,SA,Credits,Secondary income Other sectors,18247,gbp-million,current-account
year/2019,IKBN,SA,Credits,Secondary income Total,19165,gbp-million,current-account
year/2019,HBON,SA,Credits,Total credits,936079,gbp-million,current-account
year/2020,BOKG,SA,Credits,Exports of goods,309016,gbp-million,current-account
year/2020,IKBB,SA,Credits,Exports of services,300881,gbp-million,current-account
year/2020,IKBH,SA,Credits,Total exports,609897,gbp-million,current-account
year/2020,IJAH,SA,Credits,Primary income Compensation of employees,568,gbp-million,current-account
year/2020,HBOK,SA,Credits,Primary income Investment income,134504,gbp-million,current-account
year/2020,MT5T,SA,Credits,Primary income Other primary income,585,gbp-million,current-account
year/2020,HBOH,SA,Credits,Primary income Total,135657,gbp-million,current-account
year/2020,FHDM,SA,Credits,Secondary income Central government,395,gbp-million,current-account
year/2020,FHIB,SA,Credits,Secondary income Other sectors,20249,gbp-million,current-account
year/2020,IKBN,SA,Credits,Secondary income Total,20644,gbp-million,current-account
year/2020,HBON,SA,Credits,Total credits,766198,gbp-million,current-account
year/2021,BOKG,SA,Credits,Exports of goods,321792,gbp-million,current-account
year/2021,IKBB,SA,Credits,Exports of services,303582,gbp-million,current-account
year/2021,IKBH,SA,Credits,Total exports,625374,gbp-million,current-account
year/2021,IJAH,SA,Credits,Primary income Compensation of employees,587,gbp-million,current-account
year/2021,HBOK,SA,Credits,Primary income Investment income,180963,gbp-million,current-account
year/2021,MT5T,SA,Credits,Primary income Other primary income,14,gbp-million,current-account
year/2021,HBOH,SA,Credits,Primary income Total,181564,gbp-million,current-account
year/2021,FHDM,SA,Credits,Secondary income Central government,274,gbp-million,current-account
year/2021,FHIB,SA,Credits,Secondary income Other sectors,16587,gbp-million,current-account
year/2021,IKBN,SA,Credits,Secondary income Total,16861,gbp-million,current-account
year/2021,HBON,SA,Credits,Total credits,823799,gbp-million,current-account
quarter/1997-Q1,BOKG,SA,Credits,Exports of goods,42866,gbp-million,current-account
quarter/1997-Q1,IKBB,SA,Credits,Exports of services,17923,gbp-million,current-account
quarter/1997-Q1,IKBH,SA,Credits,Total exports,60789,gbp-million,current-account
quarter/1997-Q1,IJAH,SA,Credits,Primary income Compensation of employees,233,gbp-million,current-account
quarter/1997-Q1,HBOK,SA,Credits,Primary income Investment income,23478,gbp-million,current-account
quarter/1997-Q1,MT5T,SA,Credits,Primary income Other primary income,817,gbp-million,current-account
quarter/1997-Q1,HBOH,SA,Credits,Primary income Total,24528,gbp-million,current-account
quarter/1997-Q1,FHDM,SA,Credits,Secondary income Central government,125,gbp-million,current-account
quarter/1997-Q1,FHIB,SA,Credits,Secondary income Other sectors,2145,gbp-million,current-account
quarter/1997-Q1,IKBN,SA,Credits,Secondary income Total,2270,gbp-million,current-account
quarter/1997-Q1,HBON,SA,Credits,Total credits,87587,gbp-million,current-account
quarter/1997-Q2,BOKG,SA,Credits,Exports of goods,42676,gbp-million,current-account
quarter/1997-Q2,IKBB,SA,Credits,Exports of services,17830,gbp-million,current-account
quarter/1997-Q2,IKBH,SA,Credits,Total exports,60506,gbp-million,current-account
quarter/1997-Q2,IJAH,SA,Credits,Primary income Compensation of employees,220,gbp-million,current-account
quarter/1997-Q2,HBOK,SA,Credits,Primary income Investment income,24133,gbp-million,current-account
quarter/1997-Q2,MT5T,SA,Credits,Primary income Other primary income,748,gbp-million,current-account
quarter/1997-Q2,HBOH,SA,Credits,Primary income Total,25101,gbp-million,current-account
quarter/1997-Q2,FHDM,SA,Credits,Secondary income Central government,195,gbp-million,current-account
quarter/1997-Q2,FHIB,SA,Credits,Secondary income Other sectors,2248,gbp-million,current-account
quarter/1997-Q2,IKBN,SA,Credits,Secondary income Total,2443,gbp-million,current-account
quarter/1997-Q2,HBON,SA,Credits,Total credits,88050,gbp-million,current-account
quarter/1997-Q3,BOKG,SA,Credits,Exports of goods,41698,gbp-million,current-account
quarter/1997-Q3,IKBB,SA,Credits,Exports of services,19208,gbp-million,current-account
quarter/1997-Q3,IKBH,SA,Credits,Total exports,60906,gbp-million,current-account
quarter/1997-Q3,IJAH,SA,Credits,Primary income Compensation of employees,286,gbp-million,current-account
quarter/1997-Q3,HBOK,SA,Credits,Primary income Investment income,24518,gbp-million,current-account
quarter/1997-Q3,MT5T,SA,Credits,Primary income Other primary income,749,gbp-million,current-account
quarter/1997-Q3,HBOH,SA,Credits,Primary income Total,25553,gbp-million,current-account
quarter/1997-Q3,FHDM,SA,Credits,Secondary income Central government,203,gbp-million,current-account
quarter/1997-Q3,FHIB,SA,Credits,Secondary income Other sectors,2019,gbp-million,current-account
quarter/1997-Q3,IKBN,SA,Credits,Secondary income Total,2222,gbp-million,current-account
quarter/1997-Q3,HBON,SA,Credits,Total credits,88681,gbp-million,current-account
quarter/1997-Q4,BOKG,SA,Credits,Exports of goods,42570,gbp-million,current-account
quarter/1997-Q4,IKBB,SA,Credits,Exports of services,18136,gbp-million,current-account
quarter/1997-Q4,IKBH,SA,Credits,Total exports,60706,gbp-million,current-account
quarter/1997-Q4,IJAH,SA,Credits,Primary income Compensation of employees,268,gbp-million,current-account
quarter/1997-Q4,HBOK,SA,Credits,Primary income Investment income,24458,gbp-million,current-account
quarter/1997-Q4,MT5T,SA,Credits,Primary income Other primary income,753,gbp-million,current-account
quarter/1997-Q4,HBOH,SA,Credits,Primary income Total,25479,gbp-million,current-account
quarter/1997-Q4,FHDM,SA,Credits,Secondary income Central government,137,gbp-million,current-account
quarter/1997-Q4,FHIB,SA,Credits,Secondary income Other sectors,2122,gbp-million,current-account
quarter/1997-Q4,IKBN,SA,Credits,Secondary income Total,2259,gbp-million,current-account
quarter/1997-Q4,HBON,SA,Credits,Total credits,88444,gbp-million,current-account
quarter/1998-Q1,BOKG,SA,Credits,Exports of goods,42148,gbp-million,current-account
quarter/1998-Q1,IKBB,SA,Credits,Exports of services,18735,gbp-million,current-account
quarter/1998-Q1,IKBH,SA,Credits,Total exports,60883,gbp-million,current-account
quarter/1998-Q1,IJAH,SA,Credits,Primary income Compensation of employees,293,gbp-million,current-account
quarter/1998-Q1,HBOK,SA,Credits,Primary income Investment income,24753,gbp-million,current-account
quarter/1998-Q1,MT5T,SA,Credits,Primary income Other primary income,750,gbp-million,current-account
quarter/1998-Q1,HBOH,SA,Credits,Primary income Total,25796,gbp-million,current-account
quarter/1998-Q1,FHDM,SA,Credits,Secondary income Central government,99,gbp-million,current-account
quarter/1998-Q1,FHIB,SA,Credits,Secondary income Other sectors,2879,gbp-million,current-account
quarter/1998-Q1,IKBN,SA,Credits,Secondary income Total,2978,gbp-million,current-account
quarter/1998-Q1,HBON,SA,Credits,Total credits,89657,gbp-million,current-account
quarter/1998-Q2,BOKG,SA,Credits,Exports of goods,41368,gbp-million,current-account
quarter/1998-Q2,IKBB,SA,Credits,Exports of services,18841,gbp-million,current-account
quarter/1998-Q2,IKBH,SA,Credits,Total exports,60209,gbp-million,current-account
quarter/1998-Q2,IJAH,SA,Credits,Primary income Compensation of employees,161,gbp-million,current-account
quarter/1998-Q2,HBOK,SA,Credits,Primary income Investment income,26146,gbp-million,current-account
quarter/1998-Q2,MT5T,SA,Credits,Primary income Other primary income,729,gbp-million,current-account
quarter/1998-Q2,HBOH,SA,Credits,Primary income Total,27036,gbp-million,current-account
quarter/1998-Q2,FHDM,SA,Credits,Secondary income Central government,98,gbp-million,current-account
quarter/1998-Q2,FHIB,SA,Credits,Secondary income Other sectors,2167,gbp-million,current-account
quarter/1998-Q2,IKBN,SA,Credits,Secondary income Total,2265,gbp-million,current-account
quarter/1998-Q2,HBON,SA,Credits,Total credits,89510,gbp-million,current-account
quarter/1998-Q3,BOKG,SA,Credits,Exports of goods,40500,gbp-million,current-account
quarter/1998-Q3,IKBB,SA,Credits,Exports of services,19288,gbp-million,current-account
quarter/1998-Q3,IKBH,SA,Credits,Total exports,59788,gbp-million,current-account
quarter/1998-Q3,IJAH,SA,Credits,Primary income Compensation of employees,171,gbp-million,current-account
quarter/1998-Q3,HBOK,SA,Credits,Primary income Investment income,28033,gbp-million,current-account
quarter/1998-Q3,MT5T,SA,Credits,Primary income Other primary income,729,gbp-million,current-account
quarter/1998-Q3,HBOH,SA,Credits,Primary income Total,28933,gbp-million,current-account
quarter/1998-Q3,FHDM,SA,Credits,Secondary income Central government,91,gbp-million,current-account
quarter/1998-Q3,FHIB,SA,Credits,Secondary income Other sectors,1714,gbp-million,current-account
quarter/1998-Q3,IKBN,SA,Credits,Secondary income Total,1805,gbp-million,current-account
quarter/1998-Q3,HBON,SA,Credits,Total credits,90526,gbp-million,current-account
quarter/1998-Q4,BOKG,SA,Credits,Exports of goods,39972,gbp-million,current-account
quarter/1998-Q4,IKBB,SA,Credits,Exports of services,19850,gbp-million,current-account
quarter/1998-Q4,IKBH,SA,Credits,Total exports,59822,gbp-million,current-account
