Label,URI,Parent URI,Sort Priority,Description,Local Notation
Kent,http://data.europa.eu/nuts/code/UKJ4,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,43,,
"Gloucestershire, Wiltshire and Bristol/Bath area",http://data.europa.eu/nuts/code/UKK1,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,44,,
Dorset and Somerset,http://data.europa.eu/nuts/code/UKK2,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,45,,
Cornwall and Isles of Scilly,http://data.europa.eu/nuts/code/UKK3,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,46,,
Devon,http://data.europa.eu/nuts/code/UKK4,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,47,,
West Wales and The Valleys,http://data.europa.eu/nuts/code/UKL1,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,48,,
East Wales,http://data.europa.eu/nuts/code/UKL2,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,49,,
North Eastern Scotland,http://data.europa.eu/nuts/code/UKM5,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,50,,
Highlands and Islands,http://data.europa.eu/nuts/code/UKM6,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,51,,
Eastern Scotland,http://data.europa.eu/nuts/code/UKM7,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,52,,
West Central Scotland,http://data.europa.eu/nuts/code/UKM8,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,53,,
Southern Scotland,http://data.europa.eu/nuts/code/UKM9,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,54,,
Hartlepool and Stockton-on-Tees,http://data.europa.eu/nuts/code/UKC11,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,55,,
South Teesside,http://data.europa.eu/nuts/code/UKC12,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,56,,
Darlington,http://data.europa.eu/nuts/code/UKC13,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,57,,
Durham CC,http://data.europa.eu/nuts/code/UKC14,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,58,,
Northumberland,http://data.europa.eu/nuts/code/UKC21,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,59,,
Tyneside,http://data.europa.eu/nuts/code/UKC22,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,60,,
Sunderland,http://data.europa.eu/nuts/code/UKC23,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,61,,
West Cumbria,http://data.europa.eu/nuts/code/UKD11,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,62,,
East Cumbria,http://data.europa.eu/nuts/code/UKD12,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,63,,
Manchester,http://data.europa.eu/nuts/code/UKD33,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,64,,
Greater Manchester South West,http://data.europa.eu/nuts/code/UKD34,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,65,,
Greater Manchester South East,http://data.europa.eu/nuts/code/UKD35,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,66,,
Greater Manchester North West,http://data.europa.eu/nuts/code/UKD36,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,67,,
Greater Manchester North East,http://data.europa.eu/nuts/code/UKD37,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,68,,
Blackburn with Darwen,http://data.europa.eu/nuts/code/UKD41,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,69,,
Blackpool,http://data.europa.eu/nuts/code/UKD42,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,70,,
Lancaster and Wyre,http://data.europa.eu/nuts/code/UKD44,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,71,,
Mid Lancashire,http://data.europa.eu/nuts/code/UKD45,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,72,,
East Lancashire,http://data.europa.eu/nuts/code/UKD46,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,73,,
Chorley and West Lancashire,http://data.europa.eu/nuts/code/UKD47,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,74,,
Warrington,http://data.europa.eu/nuts/code/UKD61,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,75,,
Cheshire East,http://data.europa.eu/nuts/code/UKD62,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,76,,
Cheshire West and Chester,http://data.europa.eu/nuts/code/UKD63,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,77,,
East Merseyside,http://data.europa.eu/nuts/code/UKD71,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,78,,
Liverpool,http://data.europa.eu/nuts/code/UKD72,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,79,,
Sefton,http://data.europa.eu/nuts/code/UKD73,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,80,,
Wirral,http://data.europa.eu/nuts/code/UKD74,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,81,,
"Kingston upon Hull, City of",http://data.europa.eu/nuts/code/UKE11,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,82,,
East Riding of Yorkshire,http://data.europa.eu/nuts/code/UKE12,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,83,,
North and North East Lincolnshire,http://data.europa.eu/nuts/code/UKE13,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,84,,
York,http://data.europa.eu/nuts/code/UKE21,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,85,,
