TrueSitcNotation,Label,Notation,Parent Notation,Sort Priority
022.1,"Milk (including skimmed milk) and cream, not concentrated or sweetened",02210,02200,149
022.11,"Milk of a fat content, by weight, not exceeding 1%",02211,02200,150
022.12,"Milk and cream, of a fat content, by weight, exceeding 1% but not exceeding 6%",02212,02200,151
022.13,"Cream of a fat content, by weight, exceeding 6%",02213,02200,152
022.2,"Milk and cream, concentrated or sweetened",02220,02200,153
022.21,"Milk, in solid form, of a fat content, by weight, not exceeding 1.5%",02221,02200,154
022.22,"Milk and cream, in solid form, of a fat content, by weight, exceeding 1.5%",02222,02200,155
022.23,"Milk and cream, not in solid form, not containing added sugar or other sweetening matter",02223,02200,156
022.24,"Milk and cream, not in solid form, containing added sugar or other sweetening matter",02224,02200,157
022.3,"Yogurt;buttermilk, curdled, fermented or acidified milk and cream; ice cream",02230,02200,158
022.31,"Yogurt, concentrated/ctg added sugar or other sweetener/flavoured or ctg added fruit nuts or cocoa",02231,02200,159
022.32,"Buttermilk, curdled milk & cream, kephir & other fermented or acidified milk or cream",02232,02200,160
022.33,Ice cream and other edible ice whether or not containing cocoa,02233,02200,161
022.4,"Whey; products consisting of natural milk constituents, nes",02240,02200,162
022.41,"Whey and modified whey,whether or not concentrated or containing added sugar or sweetening matter",02241,02200,163
022.49,"Products consisting of natural milk constituents, nes",02249,02200,164
023,Butter and other fats and oils derived from milk,02300,02,165
024,Cheese and curd,02400,02,166
024.1,"Grated or powdered cheese, of all kinds",02410,02400,167
024.2,"Processed cheese, not grated or powdered",02420,02400,168
024.3,Blue-veined cheese,02430,02400,169
024.9,Other cheese; curd,02490,02400,170
024.91,"Fresh(unripened or uncured)cheese,including whey cheese and curd",02491,02400,171
024.99,Cheese nes,02499,02400,172
025,"Birds' eggs, and egg yolks, fresh, dried or otherwise preserved, sweetened or not; egg albumin",02500,02,173
025.1,"Birds' eggs, in shell, fresh, preserved or cooked",02510,02500,174
025.2,"Birds' eggs, not in shell, and egg yolks",02520,02500,175
025.21,"Birds' eggs, not in shell, and egg yolks: dried",02521,02500,176
025.22,"Birds' eggs, not in shell, and egg yolks: other than dried",02522,02500,177
025.3,Egg albumin,02530,02500,178
034,"Fish, fresh (live or dead), chilled or frozen",03400,03,179
034.1,"Fish, fresh (live or dead) or chilled (excluding fillets and minced fish)",03410,03400,180
034.11,"Fish, live",03411,03400,181
034.12,"Salmonidae, fresh or chilled (excluding livers and roes)",03412,03400,182
034.13,"Flat fish, fresh or chilled (excluding livers and roes)",03413,03400,183
034.14,"Tunas, skipjack or stripe-bellied bonito, fresh or chilled, (excluding livers and roes)",03414,03400,184
034.15,"Herrings, sardines, sardinella, brislings or sprats, fresh or chilled (excluding livers and roes)",03415,03400,185
034.16,"Cod, fresh or chilled (excluding livers and roes)",03416,03400,186
034.17,"Mackerel (scombrids), fresh or chilled",03417,03400,187
034.18,"Other fish, fresh or chilled (excluding livers and roes)",03418,03400,188
034.19,"Livers and roes, fresh or chilled",03419,03400,189
034.2,"Fish, frozen (excluding fillets and minced fish)",03420,03400,190
034.21,"Salmonidae, frozen (excluding livers and roes)",03421,03400,191
034.22,"Flat fish, frozen (excluding livers and roes)",03422,03400,192
034.23,"Tunas, skipjack or stripe-bellied bonito, frozen (excluding livers and roes)",03423,03400,193
034.24,"Herrings, sardines, sardinella, brislings or sprats, frozen (excluding livers and roes)",03424,03400,194
034.25,"Cod, frozen (excluding livers and roes)",03425,03400,195
034.26,"Mackerel (scombrids), frozen (excluding livers and roes)",03426,03400,196
034.27,"Hake, frozen (excluding livers and roes)",03427,03400,197
034.28,"Other fish, frozen (excluding livers and roes)",03428,03400,198
034.29,"Livers and roes, frozen",03429,03400,199
034.4,"Fish fillets, frozen",03440,03400,200
034.5,"Fish fillets, fresh or chilled, and other fish meat (whether or not minced),fresh, chilled or frozen",03450,03400,201
034.51,"Fish fillets and other fish meat, fresh or chilled",03451,03400,202
034.55,"Fish meat (other than fillets), frozen",03455,03400,203
035,"Fish, dried, salted or in brine; smoked fish flours,meals & pellets of fish,fit for human consumption",03500,03,204
035.1,"Fish, dried, salted or in brine, but not smoked",03510,03500,205
035.11,"Cod(gadus morhua, gadus ogac, gadus macrocephalus, not in fillets), dried, whether or not salted",03511,03500,206
035.12,"Fillets, dried, salted or in brine",03512,03500,207
035.13,"Fish dried, whether or not salted, nes",03513,03500,208
035.2,Fish salted but not dried or smoked and fish in brine,03520,03500,209
035.21,"Cod(gadus morhua, gadus ogac,gadus macrocephalus) salted, in brine, but not smoked or dried",03521,03500,210
035.22,"Anchovies, salted, in brine, but not smoked or dried",03522,03500,211
035.29,"Fish other than cod or anchovies, salted, in brine but not dried or smoked",03529,03500,212
035.3,"Fish (including fillets), smoked, whether or not cooked before or during the smoking process",03530,03500,213
035.4,"Fish liver and roes, dried, smoked, salted or in brine",03540,03500,214
035.5,"Flours,meals,and pellets of fish fit for human consumption",03550,03500,215
036,"Crustaceans, molluscs and aquatic invertebrates whether in shell or not;flours,meals and pellets",03600,03,216
036.1,"Crustaceans, frozen",03610,03600,217
036.11,"Shrimps and prawns, frozen",03611,03600,218
036.19,"Crustaceans,frozen,nes including flours,meals and pellets of crustaceans,fit for human consumption",03619,03600,219
036.2,"Crustaceans,other than frozen including flours meals & pellets of crustaceans,fit for human consumption",03620,03600,220
036.3,"Molluscs & aquatic invertebrates,fresh,chilled etc flours etc.thereof o/t crustaceans for human consumption",03630,03600,221
036.31,Oysters,03631,03600,222
036.33,"Cuttlefish, octopus and squid, fresh or chilled",03633,03600,223
036.35,"Other molluscs and aquatic invertebrates, fresh or chilled",03635,03600,224
036.37,"Cuttlefish, octopus and squid, frozen, dried, salted or in brine;flours etc thereof for human consumption",03637,03600,225
036.39,"Other molluscs and aquatic invertebrates, frozen, etc inc flours etc o/t crustaceans for human consumption",03639,03600,226
037,"Fish, crustaceans, molluscs and other aquatic invertebrates, prepared or preserved, nes",03700,03,227
037.1,"Fish, prepared or preserved, nes; caviar and caviar substitutes prepared from fish eggs",03710,03700,228
037.11,"Salmon, whole or in pieces (but not minced), prepared or preserved",03711,03700,229
037.12,"Herrings, sardines, sardinella and brislings or sprats, whole or in pieces (but not minced), prd or prs",03712,03700,230
037.13,"Tunas,skipjack and bonito(sarda spr),whole or in pieces but not minced",03713,03700,231
037.14,"Mackerel, whole or in pieces (but not minced), prepared or preserved",03714,03700,232
037.15,"Fish nes, whole or in pieces (but not minced), prepared or preserved",03715,03700,233
037.16,"Other fish, prepared or preserved, nes",03716,03700,234
037.17,Caviar and caviar substitutes prepared from fish eggs,03717,03700,235
037.2,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved, nes.",03720,03700,236
037.21,"Crustaceans, prepared or preserved, nes",03721,03700,237
037.22,"Molluscs and other aquatic invertebrates, prepared or preserved, nes",03722,03700,238
041,"Wheat (including spelt) and meslin, unmilled",04100,04,239
041.1,"Durum wheat, unmilled",04110,04100,240
041.2,"Other wheat (including spelt) and meslin, unmilled",04120,04100,241
042,Rice,04200,04,242
042.1,Rice in the husk (paddy or rough rice),04210,04200,243
042.2,Rice husked but not further prepared (cargo rice or brown rice),04220,04200,244
042.3,"Rice, semi-milled or wholly milled, whether or not polished, glazed, parboiled or converted (inc broken rice)",04230,04200,245
042.31,"Rice, semi-milled or wholly milled, whether or not polished, glazed, parboiled or converted (exc broken rice)",04231,04200,246
042.32,Broken rice,04232,04200,247
043,"Barley, unmilled",04300,04,248
044,Maize (not including sweet corn) unmilled,04400,04,249
044.1,"Maize seed, unmilled",04410,04400,250
044.9,"Maize (not including sweet corn), unmilled, other than seed",04490,04400,251
045,"Cereals, unmilled (other than wheat, rice, barley and maize)",04500,04,252
045.1,"Rye, unmilled",04510,04500,253
045.2,"Oats, unmilled",04520,04500,254
045.3,"Grain sorghum, unmilled",04530,04500,255
045.9,"Buckwheat, millet, canary seed and other cereals, unmilled, nes",04590,04500,256
045.91,"Millet, unmilled",04591,04500,257
045.92,"Buckwheat, unmilled",04592,04500,258
045.93,"Canary seed, unmilled",04593,04500,259
045.99,"Cereals, unmilled, nes",04599,04500,260
046,Meal and flour of wheat and flour of meslin,04600,04,261
046.1,Flour of wheat or meslin,04610,04600,262
046.2,Groats and meal of wheat,04620,04600,263
047,Other cereal meals and flours,04700,04,264
047.1,Cereal flours (other than of wheat or meslin),04710,04700,265
047.11,Maize (corn) flour,04711,04700,266
047.19,"Flour, o/t cereal flours of hdg 047.10 and maize (corn) flour",04719,04700,267
047.2,"Cereal groats, meal and pellets (other than of wheat)",04720,04700,268
047.21,Groats and meal of maize (corn),04721,04700,269
047.22,Groats and meal of other cereals,04722,04700,270
047.23,Pellets,04723,04700,271
047.29,Pellets of cereals other than wheat,04729,04700,272
048,Cereal preparations and preparations of flour or starch of fruits or vegetables,04800,04,273
048.1,"Cereal grains, worked or prepared in a manner not elsewhere specified (including 'prepared breakfast foods')",04810,04800,274
048.11,Prepared foods obtained by the swelling or roasting of cereals or cereal products (eg corn flakes),04811,04800,275
048.12,"Cereals other than maize (corn), in grain form, precooked or otherwise prepared",04812,04800,276
048.13,"Other rolled or flaked cereal grains, except rice of heading 042.30",04813,04800,277
048.14,"Other worked cereal grains (eg hulled, pearled, clipped, sliced or kibbled), except rice of heading 042.30",04814,04800,278
048.15,"Germ of cereals, whole, rolled, flaked or ground",04815,04800,279
048.2,"Malt, whether or not roasted (including malt flour)",04820,04800,280
048.3,"Macaroni,spaghetti & similar pdt(pasta) uncooked, not stuffed or o/w prd, couscous, whether or not prepared.",04830,04800,281
048.4,"Bakers' wares eg bread,cakes etc;communion wafers, empty cachets for pharmaceutical use, rice paper etc",04840,04800,282
048.41,"Crispbread, rusks, toasted bread and similar products",04841,04800,283
048.42,"Sweet biscuits, waffles and wafers, gingerbread and the like",04842,04800,284
048.49,"Bakers products, inc bread, pastry, rice paper, crispbread, biscuits, waffles, wafers etc, nes",04849,04800,285
048.5,Mixes and doughs for the preparation of bakers' wares of heading 048.40,04850,04800,286
054,"Vegetables, fresh, chilled, frozen or simply prs; roots,tubers & other edible veg products,nes,fresh or dried",05400,05,287
054.1,"Potatoes, fresh or chilled (not including sweet potatoes)",05410,05400,288
054.2,"Leguminous vegetables, dried, shelled, whether or not skinned or split",05420,05400,289
054.21,"Peas, dried, shelled, whether or not skinned or split",05421,05400,290
054.22,"Chickpeas, dried, shelled, whether or not skinned or split",05422,05400,291
054.23,"Beans, other than broad beans and horse beans, dried, shelled, whether or not skinned or split",05423,05400,292
054.24,"Lentils, dried, shelled, whether or not skinned or split",05424,05400,293
054.25,"Broad beans and horse beans, dried, shelled, whether or not skinned or split",05425,05400,294
054.29,"Leguminous veg o/t peas,chickpeas,beans & lentils, dried, shelled, whether or not skinned or split, nes",05429,05400,295
054.4,"Tomatoes, fresh or chilled",05440,05400,296
054.5,Other fresh or chilled vegetables,05450,05400,297
054.51,"Onions and shallots, fresh or chilled",05451,05400,298
054.52,"Garlic, leeks and other alliaceous vegetables",05452,05400,299
054.53,"Cabbage and similar edible brassicas, fresh or chilled",05453,05400,300
054.54,"Lettuce and chicory (including endive), fresh or chilled",05454,05400,301
054.55,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes & sim edible roots, fresh or chilled",05455,05400,302
054.56,"Cucumbers and gherkins, fresh or chilled",05456,05400,303
054.57,"Leguminous vegetables, fresh or chilled",05457,05400,304
054.58,Mushrooms and truffles,05458,05400,305
054.59,"Other vegetables, fresh or chilled, nes",05459,05400,306
054.6,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen",05460,05400,307
054.61,"Sweet corn (uncooked or cooked by steaming or boiling in water), frozen",05461,05400,308
054.69,"Veg & mixtures of veg o/t sweetcorn (uncooked or cooked by steaming or boiling in water), frozen, nes",05469,05400,309
054.7,"Veg provisionally prs (eg by sulphur dioxide gas or other prs solutions),but unfit for immediate consumption",05470,05400,310
054.8,"Vegetable products, roots and tubers, chiefly for human food, nes, fresh dried or chilled",05480,05400,311
054.81,Manioc (cassava) fresh dried or chilled,05481,05400,312
054.83,"Arrowroot & sim tubers (o/t manioc) high in starch or inulin content, sliced or not, or in pellets; sago pith",05483,05400,313
054.84,"Hop cones and lupulin, fresh, dried or chilled",05484,05400,314
054.85,"Apricot, peach or plum stones and kernals, fresh or dried, whether or not ground",05485,05400,315
054.87,"Sugar beet, fresh or dried, whether or not ground",05487,05400,316
054.88,"Sugar cane, fresh or dried, whether or not ground",05488,05400,317
054.89,"Vegetable products of a kind used chiefly for human foods, nes",05489,05400,318
056,"Vegetables, roots and tubers, prepared or preserved, nes",05600,05,319
056.1,"Veg, dried (exc leguminous veg), whole, cut, sliced, broken or in powder, but not further prepared",05610,05600,320
056.11,"Potatoes, whether or not cut or sliced but not further prepared",05611,05600,321
056.12,"Onions, whole, cut, sliced, broken or in powder, but not further prepared",05612,05600,322
056.13,"Mushrooms & truffles, whole, cut, sliced, broken or in powder, but not further prepared",05613,05600,323
056.19,"Other dried vegetables of hdg 056.10, inc mixtures",05619,05600,324
056.4,"Flour,meal,flakes,granules and pellets of potatoes fruits and vegetables,nes",05640,05600,325
056.41,Flour and meal of potatoes,05641,05600,326
056.42,"Flakes,granules and pellets of potatoes",05642,05600,327
056.45,"Tapioca and sbs therefor prepared from starch, in the form of flakes, grains, pearls, siftings or sim forms",05645,05600,328
056.46,Flour and meal of the dried leguminous vegetables of heading 054.20,05646,05600,329
056.47,"Flour and meal of sago, roots or tubers of headings 054.81 and 054.83",05647,05600,330
056.48,"Flour, meal and powder of the products of any heading of group 057",05648,05600,331
056.6,"Vegetable prepared or preserved otherwise than by vinegar or acetic acid, nes, frozen",05660,05600,332
056.61,"Potatoes prepared or preserved otherwise than by vinegar or acetic acid, frozen",05661,05600,333
056.69,"Other vegetables and mixtures of vegetables prd or preserved o/w than by vinegar or acetic acid, frozen",05669,05600,334
056.7,"Vegetables prepared or preserved, nes",05670,05600,335
