TrueSitcNotation,Label,Notation,Parent Notation,Sort Priority
673.27,"Flat-rolled products of hdg 673.20, of a width of less than 600mm, and a thickness of not less than 4mm",67327,67300,2342
673.29,"Flat-rolled products of hdg 673.20 nes, of a width of less than 600mm",67329,67300,2343
673.4,"Flat-rolled products of iron or non-alloy steel, not clad, plated or coated, nfw than cold-rolled",67340,67300,2344
673.41,"Flat-rolled products of hdg 673.40, of a width of 600mm or more, in coils",67341,67300,2345
673.42,"Flat-rolled iron/steel products of hdg 673.40: width 600mm or more, thickness exd 1mm but l/t 3mm,in coils",67342,67300,2346
673.43,"Flat-rolled iron/steel products of hdg 673.40: width 600mm or more, thickness 0.50mm - 1mm, in coils",67343,67300,2347
673.44,"Flat-rolled iron/steel products of hdg 673.40: width 600mm or more, thickness less than 0.55mm, in coils",67344,67300,2348
673.45,"Flat-rolled iron/steel products of hdg 673.40: width 600mm or more, thickness 3mm or more, not in coils",67345,67300,2349
673.46,"Flat-rolled iron/steel products of hdg 673.40, of a width of 600mm or more, not in coils",67346,67300,2350
673.47,"Flat-rolled iron/steel products of hdg 673.40: width 600mm or more, thickness 0.50mm - 1mm, not in coils",67347,67300,2351
673.48,"Flat-rolled iron/steel products of hdg 673.40: width 600mm or more, thickness l/t 0.50mm, not in coils",67348,67300,2352
673.49,Flat-rolled iron/steel products of hdg 673.40: width less than 600mm,67349,67300,2353
673.5,"Flat-rolled products of iron or non-alloy steel, not clad, plated or coated, nes",67350,67300,2354
673.51,"Flat-rolled pdt of iron or non-alloy steel, of a width of nlt 600mm,hot rolled,not clad,plated or coated,nes",67351,67300,2355
673.52,"Flat-rolled pdt of iron or non-alloy steel, of a width nlt 600mm,cold-rolled,not clad,plated or coated, nes",67352,67300,2356
673.53,"Flat-rolled products of iron or non-alloy steel, not clad, plated or coated, nes, of a width of l/t 600 mm",67353,67300,2357
674,"Flat-rolled products of iron or non-alloy steel, clad, plated or coated",67400,67,2358
674.1,"Flat-rolled products of iron or non-alloy steel, plated or coated with zinc",67410,67400,2359
674.11,"Flat-rolled pdt of iron or non-alloy steel, plated or coated electrolytically with zinc, width 600 mm or more",67411,67400,2360
674.12,"Flat-rolled pdt of iron or non-alloy steel, plated or coated electrolytically with zinc, width less than 600mm",67412,67400,2361
674.13,"Flat-rolled products of iron or non-alloy steel, otherwise plated or coated with zinc, width 600 mm or more",67413,67400,2362
674.14,"Flat-rolled products of iron or non-alloy steel, otherwise plated or coated with zinc, width less than 600mm",67414,67400,2363
674.2,"Flat-rolled products of iron or non-alloy steel, plated or coated with tin",67420,67400,2364
674.21,"Flat-rolled products of iron or non-alloy steel, plated or coated with tin of a width of  600 mm or more",67421,67400,2365
674.22,"Flat-rolled products of iron or non-alloy steel, plated or coated with tin of a width of less than 600 mm",67422,67400,2366
674.3,"Flat-rolled products of iron or non-alloy steel, painted,varnished or coated with plastics",67430,67400,2367
674.31,"Flat-rolled pdt of iron or non-alloy steel, of a width of nlt 600mm, painted, varnished or plastic coated",67431,67400,2368
674.32,"Flat-rolled pdt of iron or non-alloy steel, of a width of l/t 600mm, painted, varnished or plastic coated",67432,67400,2369
674.4,"Flat-rolled products of iron or non-alloy steel, clad, painted or coated, nes, of a width of 600mm or more",67440,67400,2370
674.41,"Flat-rolled iron/steel products of hdg 674.40: plated or coated with lead, including terne-plate",67441,67400,2371
674.42,Flat-rolled iron/steel pdt of hdg 674.40: plated or coated with chromium oxides or chromium &chromium oxides,67442,67400,2372
674.43,Flat-rolled iron/steel products of hdg 674.40: plated or coated with aluminium,67443,67400,2373
674.44,Flat-rolled iron/steel products of hdg 674.40: other,67444,67400,2374
674.5,"Flat-rolled products of iron or non-alloy steel, clad, plated or coated, nes, of a width of less than 600mm",67450,67400,2375
674.51,"Flat-rolled pdt of iron or non-alloy steel, plated or coated o/t by electrolysis, nes, of a width of l/t 600mm",67451,67400,2376
674.52,"Flat-rolled products of iron or non alloy steel, clad, nes, of a width of less than 600mm",67452,67400,2377
675,Flat-rolled products of alloy steel,67500,67,2378
675.1,Flat-rolled products of silicon-electrical steel,67510,67500,2379
675.11,Flat-rolled products of silicon-electrical steel of a width of 600 mm or more,67511,67500,2380
675.12,Flat-rolled products of silicon-electrical steel of a width of less than 600 mm,67512,67500,2381
675.2,Flat-rolled products of high-speed steel of a width of less than 600 mm,67520,67500,2382
675.21,Flat-rolled products of high speed steel of a width of 600 mm or more,67521,67500,2383
675.22,Flat-rolled products of high speed steel of a width of less than 600mm,67522,67500,2384
675.3,"Flat-rolled products of stainless steel, not further worked than hot-rolled",67530,67500,2385
675.31,"Flat-rolled pdt of s/steel, of a width nlt 600mm & a thickness nlt 4.75mm, in coils, nfw than hot-rolled",67531,67500,2386
675.32,"Flat-rolled pdt of s/steel, nlt 600mm width & nlt 3mm but l/t 4.75mm thickness, in coils, nfw than hot-rolled",67532,67500,2387
675.33,"Flat-rolled pdt of s/steel, of a width nlt 600mm & of a thickness l/t 3mm, in coils, nfw than hot-rolled",67533,67500,2388
675.34,"Flat-rolled pdt of s/steel, of a width nlt 600mm & a thickness nlt 4.75mm, not in coils, nfw than hot-rolled",67534,67500,2389
675.35,"Flat-rolled pdt of s/steel, of a width nlt 600mm & a thickness of nlt 3mm, nfw than hot-rolled",67535,67500,2390
675.36,"Flat-rolled pdt of s/steel, of a width nlt 600mm & of a thickness l/t 3mm, not in coils, nfw than hot-rolled",67536,67500,2391
675.37,"Flat-rolled pdt of s/steel, of a width l/t 6oomm & a thickness of nlt 4.75mm, nfw than hot-rolled",67537,67500,2392
675.38,"Flat-rolled pdt of s/steel, of a width l/t 600mm and a thickness of l/t 4.75mm, nfw than hot-rolled",67538,67500,2393
675.4,"Flat-rolled products of other alloy steel, not further worked than hot-rolled",67540,67500,2394
675.41,"Flat-rolled products of other alloy steel, nfw than hot-rolled: of a width of 600mm or more, in coils",67541,67500,2395
675.42,"Flat-rolled products of other alloy steel, nfw than hot-rolled: of a width of 600mm or more, not in coils",67542,67500,2396
675.43,"Flat-rolled products of other alloy steel, nfw than hot-rolled: of a width of less than 600mm",67543,67500,2397
675.5,"Flat-rolled products of stainless steel, not further worked than cold-rolled (cold-reduced)",67550,67500,2398
675.51,"Flat-rolled pdt of s/steel, of a width nlt 6oomm & a thickness of nlt 4.75mm, nfw than cold-rolled",67551,67500,2399
675.52,"Flat-rolled pdt of s/steel, of a width nlt 600mm & a thickness nlt 3mm but l/t 4.75mm, nfw than cold-rolled",67552,67500,2400
675.53,"Flat-rolled pdt of s/steel, of a width nlt 600mm & a thickness exd 1mm but l/t 3mm, nfw than cold-rolled",67553,67500,2401
675.54,"Flat-rolled pdt of s-steel, of a width nlt 600mm & a thickness nlt 0.5mm but ne 1mm, nfw than cold-rolled",67554,67500,2402
675.55,"Flat-rolled pdt of s/steel, of a width nlt 600mm & a thickness of l/t 0.5mm, nfw than cold-rolled",67555,67500,2403
675.56,"Flat-rolled products of stainless steel, nfw than cold-rolled (cold-reduced):of a width of less than 600mm",67556,67500,2404
675.6,"Flat-rolled products of other alloy steel, not further worked than cold-rolled (cold-reduced)",67560,67500,2405
675.61,"Flat-rolled products of other alloy steel, nfw than cold-rolled (cold-reduced):of a width of 600mm or more",67561,67500,2406
675.62,"Flat-rolled products of other alloy steel, nfw than cold-rolled (cold-reduced) : of a width of l/t 600mm",67562,67500,2407
675.7,"Flat-rolled products of alloy steel, nes",67570,67500,2408
675.71,"Flat-rolled products of stainless steel, nes: of a width of 600mm or more",67571,67500,2409
675.72,"Flat-rolled products of stainless steel, nes: of a width of less than 600mm",67572,67500,2410
675.73,"Flat-rolled products of other alloy steel, nes: of a width of 600mm or more",67573,67500,2411
675.74,"Flat-rolled products of other alloy steel, nes: of a width of less than 600mm",67574,67500,2412
676,"Iron and steel bars, rods, angles, shapes and sections (including sheet piling)",67600,67,2413
676.1,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or steel",67610,67600,2414
676.11,"Bars and rods, hot-rolled, in irregularly wound coils, of iron/non-alloy steel ctg indentations, ribs etc",67611,67600,2415
676.12,"Bars and rods, hot-rolled, in irregularly wound coils, of free cutting steel",67612,67600,2416
676.13,"Bars and rods, hot-rolled, in irregularly wound coils, of iron/non-alloy steel ctg by wgt l/t 0.60% carbon",67613,67600,2417
676.14,"Bars & rods, hot-rolled, in irregular wound coils, of iron/non-alloy steel, ctg by wgt 0.60% or more of carbon",67614,67600,2418
676.15,"Bars and rods, hot-rolled, in irregularly wound coils, of stainless steel",67615,67600,2419
676.17,"Bars and rods, hot-rolled, in irregularly wound coils, of high speed steel",67617,67600,2420
676.19,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or other alloy and non-alloy steel, nes",67619,67600,2421
676.2,"Bars & rods (o/t of hdg 676.10) of iron or steel, nfw than hot-rolled, hot-drawn or hot extruded",67620,67600,2422
676.21,"Bars & rods of hdg 676.20: of iron or non-alloy steel ctg indentations, ribs etc or twisted after rolling",67621,67600,2423
676.22,Bars & rods of hdg 676.20: of free cutting steel,67622,67600,2424
676.23,"Bars & rods of hdg 676.20: of iron or non-alloy steel, ctg less than 0.60% of carbon, o/t hdgs 676.21 & 22",67623,67600,2425
676.24,"Bars & rods of hdg 676.20: of iron or non-alloy   steel, ctg 0.60% or more of carbon, o/t hdgs 676.21 & 22",67624,67600,2426
676.25,Bars & rods of hdg 676.20: of stainless steel,67625,67600,2427
676.29,"Bars & rods of hdg 676.20: of iron or other alloy and non-alloy steel, nes",67629,67600,2428
676.3,"Bars & rods (o/t of hdg 676.10) of iron or steel, nfw than cold-formed or cold-finished",67630,67600,2429
676.31,Bars & rods of hdg 676.30: of free-cutting steel,67631,67600,2430
676.32,"Bars & rods of hdg 676.30: of iron or non-alloy steel, ctg l/t 0.60% of carbon, o/t free-cutting steel",67632,67600,2431
676.33,"Bars and rods of iron or non-alloy steel, not further worked than cold formed or finished, nes",67633,67600,2432
676.34,Bars & rods of hdg 676.30: of stainless steel,67634,67600,2433
676.39,Bars & rods of hdg 676.30: of other alloy steel (except high speed or silico-manganese steel),67639,67600,2434
676.4,Other bars and rods of iron and steel,67640,67600,2435
676.41,Other bars and rods of high speed steel,67641,67600,2436
676.42,Other bars and rods of silico-manganese steel,67642,67600,2437
676.43,"Other bars and rods of iron or non alloy steel, not further worked than forged",67643,67600,2438
676.44,Other bars and rods of other iron or other non alloy steel,67644,67600,2439
676.45,Other bars and rods of stainless steel,67645,67600,2440
676.46,Other bars and rods of other alloy steel (except high speed or silico-maganese steel) nfw than forged,67646,67600,2441
676.47,"Bars and rods of alloy steel, nes",67647,67600,2442
676.48,Hollow drill bars and rods of alloy or non-alloy steel,67648,67600,2443
676.8,"Angles, shapes and sections (excluding rails) and sheet piling, of iron or steel",67680,67600,2444
676.81,"U,i,h,l or t sections,nfw than hot-rolled/drawn or extruded, l/t 80mm in height, of iron or non-alloy steel",67681,67600,2445
676.82,"U,i,h,l or t sections, nfw than hot-rolled/drawn or extruded, nlt 80mm in height, of iron or non-alloy steel",67682,67600,2446
676.83,"Other angles, shapes and sections, of iron or non-alloy steel, nfw than hot-rolled, hot drawn or extruded",67683,67600,2447
676.84,"Angles, shapes and sections, not further worked than cold-formed/cold-finished, of iron or non-alloy steel",67684,67600,2448
676.85,"Other angles, shapes and sections, of iron or non-alloy steel",67685,67600,2449
676.86,"Sheet piling of iron or steel, whether or not drilled/punched/from ass elements;welded angles & sections",67686,67600,2450
676.87,"Angles, shapes and sections, of stainless steel",67687,67600,2451
676.88,"Angles, shapes and sections, of other alloy steel",67688,67600,2452
677,"Railway and tramway track construction material, of iron or steel",67700,67,2453
677.01,Rails(including check-rails and rack rails) of iron or steel,67701,67700,2454
677.09,Other railway & tramway track construction material of iron or steel,67709,67700,2455
678,Wire of iron or steel,67800,67,2456
678.1,Wire of iron or non-alloy steel,67810,67800,2457
678.11,Wire of iron or non-alloy steel containing by weight less than 0.25% of carbon,67811,67800,2458
678.12,Wire of iron or non-alloy steel containing by weight 0.25% or more but less than 0.60% of carbon,67812,67800,2459
678.13,Wire of iron or non-alloy steel containing by weight 0.60% or more of carbon,67813,67800,2460
678.14,"Wire of iron or non-alloy steel, not plated or coated, whether or not polished",67814,67800,2461
678.15,Wire of iron or non-alloy steel plated or coated with zinc or other base materials,67815,67800,2462
678.19,"Other wire of iron or non-alloy steel, nes",67819,67800,2463
678.2,Wire of stainless steel or other alloy steel,67820,67800,2464
678.21,Wire of stainless steel,67821,67800,2465
678.29,Wire of other alloy steel,67829,67800,2466
679,"Tubes, pipes and hollow profiles, and tube or pipe fittings, of iron or steel",67900,67,2467
679.1,"Tubes, pipes and hollow profiles, seamless, of iron or steel",67910,67900,2468
679.11,"Tubes, pipes and hollow profiles, of cast iron",67911,67900,2469
679.12,Line pipe (other than cast iron) of a kind used for oil or gas pipelines,67912,67900,2470
679.13,"Casing, tubing and drill pipe, of a kind used in drilling for oil or gas (other than cast iron)",67913,67900,2471
679.14,"Other, of circular cross-section, of iron or non-alloy steel",67914,67900,2472
679.15,"Other, of circular cross-section, of stainless steel",67915,67900,2473
679.16,"Other, of circular cross-section, of other alloy steel",67916,67900,2474
679.17,"Other seamless tubes, pipes and hollow profiles",67917,67900,2475
679.3,"Other tubes & pipes (eg welded, rivetted etc), of circ cross-section, external diam >406.4mm, of iron/steel",67930,67900,2476
679.31,Tubes and pipes of hdg 679.30: line pipe of a kind used for oil or gas pipelines,67931,67900,2477
679.32,Tubes and pipes of hdg 679.30: casing of a kind used in drilling for oil or gas,67932,67900,2478
679.33,"Tubes and pipes of hdg 679.30: other, welded",67933,67900,2479
679.39,Tubes and pipes of hdg 679.30: nes,67939,67900,2480
679.4,"Other tubes, pipes & hollow profiles (eg open seam or welded, riveted or similarly closed), of iron or steel",67940,67900,2481
679.41,Line pipe of iron or steel of a kind used for oil or gas pipelines,67941,67900,2482
679.42,Casing and tubing of iron or steel of a kind used in drilling for oil or gas,67942,67900,2483
679.43,"Other tubes, pipes and hollow profiles of iron or steel, welded, of circular cross-section",67943,67900,2484
679.44,"Other tubes, pipes and hollow profiles of iron or steel, welded, of non-circular cross-section",67944,67900,2485
679.49,"Tubes, pipes and hollow profiles of iron or steel, nes",67949,67900,2486
679.5,"Tubes or pipe fittings (eg couplings, elbows, sleeves), of iron or steel",67950,67900,2487
679.51,Cast fittings of non-malleable cast iron,67951,67900,2488
679.52,Other cast fittings of iron,67952,67900,2489
679.53,Flanges of stainless steel,67953,67900,2490
679.54,"Threaded elbows, bends and sleeves of stainless steel",67954,67900,2491
679.55,Butt welding fittings of stainless steel,67955,67900,2492
679.56,Other tube and pipe fittings of stainless steel,67956,67900,2493
679.59,"Tube & pipe fittings of iron or steel, nes  (inc hdg 679.52 other cast tube or pipe fittings of iron/steel)",67959,67900,2494
681,"Silver, platinum and other metals of the platinum group",68100,68,2495
681.1,"Silver (including base metals clad with silver), unwrought, unworked or semi-manufactured",68110,68100,2496
681.12,"Base metals clad with silver, not further worked than semi-manufactured",68112,68100,2497
681.13,"Silver (including silver plated with gold or platinum), unwrought",68113,68100,2498
681.14,"Silver (including silver plated with gold or platinum), in semi-manufactured or in powdered form",68114,68100,2499
681.2,"Platinum and other metals of platinum group (inc metals clad with platinum group metals), unwkd or semi-mfd",68120,68100,2500
681.22,"Base metals, silver or gold, clad with platinum or other metals of the platinum group, nfw than semi-mfd",68122,68100,2501
681.23,"Platinum and platinum alloys, unwrought or in powder form",68123,68100,2502
681.24,"Other metals of the platinum group and alloys thereof, unwrought or in powder form",68124,68100,2503
681.25,"Platinum and other metals of the platinum group and alloys thereof, in other semi-manufactured forms",68125,68100,2504
682,Copper,68200,68,2505
682.1,"Copper, refined and unrefined; copper anodes for electrolytic refining; copper alloys unwrought",68210,68200,2506
682.11,Unrefined copper (including blister copper but exc cement copper); copper anodes for electrolytic refining,68211,68200,2507
682.12,Refined copper,68212,68200,2508
682.13,Master alloys of copper,68213,68200,2509
682.14,Copper alloys (other than master alloys),68214,68200,2510
682.3,"Copper bars, rods and profiles",68230,68200,2511
682.31,"Copper bars, rods and profiles: of refined copper",68231,68200,2512
682.32,"Copper bars, rods and profiles: of copper alloys",68232,68200,2513
682.4,Copper wire,68240,68200,2514
682.41,Copper wire: of refined copper,68241,68200,2515
682.42,Copper wire: of copper alloys,68242,68200,2516
682.5,"Copper plates, sheets and strip, of a thickness exceeding 0.15mm",68250,68200,2517
682.51,"Copper plates, sheets and strip: of refined copper: of a thickness exceeding 0.15mm",68251,68200,2518
682.52,"Copper plates, sheets and strip: of copper alloys: of a thickness exceeding 0.15mm",68252,68200,2519
682.6,Copper foil (whether or not printed or backed) of a thickness (exc any backing) ne 0.15mm;copper pdr & flakes,68260,68200,2520
682.61,"Copper foil (whether or not ptd/backed with paper, plastics or sim mat) of a thickness (exc backing) ne 0.15mm",68261,68200,2521
682.62,Copper powders and flakes,68262,68200,2522
682.7,"Copper tubes, pipes and tube or pipe fittings (eg couplings, elbows, sleeves)",68270,68200,2523
682.71,Copper tubes and pipes,68271,68200,2524
682.72,Copper tube or pipe fittings,68272,68200,2525
683,Nickel,68300,68,2526
683.1,"Nickel and nickel alloys, unwrought (excluding electro-plating anodes)",68310,68300,2527
683.11,"Nickel, not alloyed",68311,68300,2528
683.12,Nickel alloys,68312,68300,2529
683.2,"Nickel and nickel alloys, worked (excluding electro-plating anodes)",68320,68300,2530
683.21,"Nickel bars, rods, profiles and wire",68321,68300,2531
683.22,"Nickel tubes, pipes and tube or pipe fittings (eg couplings, elbows, sleeves)",68322,68300,2532
683.23,Nickel powders and flakes,68323,68300,2533
683.24,"Nickel plates, sheets, strip and foil",68324,68300,2534
684,Aluminium,68400,68,2535
684.1,"Aluminium and aluminium alloys, unwrought",68410,68400,2536
684.11,"Aluminium, not alloyed",68411,68400,2537
684.12,Aluminium alloys,68412,68400,2538
684.2,"Aluminium and aluminium alloys, worked",68420,68400,2539
684.21,"Aluminium bars, rods and profiles",68421,68400,2540
684.22,Aluminium wire,68422,68400,2541
684.23,"Aluminium plates, sheets and strip, of a thickness exceeding 0.20mm",68423,68400,2542
684.24,"Aluminium foil (inc printed or backed with paper, plastics or similar mat) of thickness(exc backing) ne 0.2mm",68424,68400,2543
684.25,Aluminium powders and flakes,68425,68400,2544
684.26,Aluminium tubes and pipes,68426,68400,2545
684.27,"Aluminium tube and pipe fittings (eg couplings, elbows, sleeves)",68427,68400,2546
685,Lead,68500,68,2547
685.1,"Lead and lead alloys, unwrought",68510,68500,2548
685.11,Unrefined lead and lead alloys,68511,68500,2549
685.12,Refined lead,68512,68500,2550
685.2,"Lead plates, sheets, strip and foil; lead powders and flakes",68520,68500,2551
685.21,"Lead bars, rods, profiles and wire",68521,68500,2552
685.22,"Lead plates, sheets, strip and foil; lead powders and flakes",68522,68500,2553
685.24,"Lead tubes, pipes and tube or pipe fittings (eg couplings, elbows, sleeves)",68524,68500,2554
686,Zinc,68600,68,2555
686.1,"Zinc and zinc alloys, unwrought",68610,68600,2556
686.11,"Zinc, not alloyed",68611,68600,2557
686.12,Zinc alloys,68612,68600,2558
686.3,"Zinc and zinc alloys, worked",68630,68600,2559
686.31,"Zinc bars, rods, profiles and wire",68631,68600,2560
686.32,"Zinc plates, sheets, strip and foil",68632,68600,2561
686.33,"Zinc dust (blue powder), powders and flakes",68633,68600,2562
686.34,"Zinc tubes, pipes and tube or pipe fittings (eg couplings, elbows, sleeves)",68634,68600,2563
687,Tin,68700,68,2564
687.1,"Tin and tin alloys, unwrought",68710,68700,2565
687.11,"Tin, not alloyed",68711,68700,2566
687.12,Tin alloys,68712,68700,2567
687.2,"Tin bars, rods, profiles and wire",68720,68700,2568
687.21,"Tin bars, rods, profiles and wire",68721,68700,2569
687.22,"Tin plates, sheets and strip, of a thickness exceeding 0.20 mm",68722,68700,2570
687.23,Tin foil (whether or not printed or backed) of a thickness (exc any backing) ne 0.20mm; tin powders & flakes,68723,68700,2571
687.24,"Tin tubes, pipes and tube or pipe fittings (eg couplings, elbows, sleeves)",68724,68700,2572
689,"Miscellaneous non-ferrous base metals employed in metallurgy, and cermets",68900,68,2573
689.1,"Tungsten (wolfram), molybdenum, tantalum and magnesium, unwrought (including waste and scrap)",68910,68900,2574
689.11,"Tungsten (wolfram), unwrought; tungsten waste and scrap",68911,68900,2575
689.12,"Molybdenum, unwrought; molybdenum waste and scrap",68912,68900,2576
689.13,"Tantalum, unwrought (including bars and rods obtained simply by sintering) waste and scrap; powders",68913,68900,2577
689.14,Magnesium waste and scrap,68914,68900,2578
689.15,"Magnesium, unwrought",68915,68900,2579
689.8,"Intermediate products of cobalt metallurgy:cobalt, cadmium, titanium & zirconium, unwrought(inc waste & scrap)",68980,68900,2580
689.81,"Cobalt mattes and other intermediate pdt of cobalt metallurgy; cobalt, unwrought; waste and scrap; powders",68981,68900,2581
689.82,"Cadmium, unwrought; cadmium waste and scrap; powders",68982,68900,2582
689.83,"Titanium, unwrought; titanium waste and scrap; powders",68983,68900,2583
689.84,"Zirconium, unwrought; zirconium waste and scrap; powders",68984,68900,2584
689.9,"Base metals, nes, and cermets, and articles thereof, nes, (including waste and scrap)",68990,68900,2585
689.91,"Beryllium, unwrought; beryllium waste and scrap; powders",68991,68900,2586
689.92,Bismuth and articles thereof (including waste and scrap),68992,68900,2587
689.93,Antimony and articles thereof (including waste and scrap),68993,68900,2588
689.94,Manganese and articles thereof (including waste and scrap),68994,68900,2589
689.95,Chromium and articles thereof (including waste and scrap),68995,68900,2590
689.96,Germanium and articles thereof (including waste and scrap),68996,68900,2591
689.97,Vanadium and articles thereof (including waste and scrap),68997,68900,2592
689.98,"Other base metals, unwrought; waste and scrap; powders",68998,68900,2593
689.99,Cermets and articles thereof (including waste and scrap),68999,68900,2594
691,"Structures and parts of structures, nes, of iron, steel or aluminium",69100,69,2595
691.1,"Structures (o/t hdg 811) & parts, of iron or steel; plates, shapes etc, prd for structures,of iron/steel",69110,69100,2596
691.11,"Bridges and bridge-sections, of iron or steel",69111,69100,2597
691.12,"Towers and lattice masts, of iron or steel",69112,69100,2598
691.13,"Doors, windows and their frames and thresholds for doors, of iron or steel",69113,69100,2599
691.14,"Equipment for scaffolding,shuttering,propping or pit propping,of iron or steel",69114,69100,2600
691.19,"Structures and parts of structures, of iron or steel, nes",69119,69100,2601
691.2,"Aluminium structures (o/t hdg 811)& parts thereof; aluminium plates, rods etc, prd for use in structures",69120,69100,2602
691.21,"Aluminium doors, windows and their frames and thresholds for doors",69121,69100,2603
691.29,"Aluminium structures & parts thereof,nes;aluminium plates, rods, profiles, tubes etc,prd for use in structures",69129,69100,2604
692,Metal containers for storage or transport,69200,69,2605
692.1,"Reservoirs, tanks, vats and similar ctr, of iron, steel or aluminium, of a capacity exceeding 300 litres",69210,69200,2606
692.11,"Reservoirs, tanks, vats and similar containers, of iron or steel, of a capacity exceeding 300 litres",69211,69200,2607
692.12,"Reservoirs, tanks, vats and similar containers, of aluminium, of a capacity exceeding 300 litres",69212,69200,2608
692.4,"Tanks, casks, drums, cans, boxes & similar ctr, of iron, steel or aluminium, of a capacity not exd 300 litres",69240,69200,2609
692.41,Containers of hdg 692.40 of iron or steel other than for compressed or liquefied gas,69241,69200,2610
692.42,"Containers of hdg 692.40 of aluminium, other than for compressed or liquefied gas",69242,69200,2611
692.43,Containers of iron or steel for compressed or liquefied gas,69243,69200,2612
692.44,Containers of aluminium for compressed or liquefied gas,69244,69200,2613
693,Wire products (excluding insulated electrical wiring) and fencing grills,69300,69,2614
693.1,"Stranded wire, ropes, cables, plaited bands,slings etc, of iron, steel, copper or aluminium not ele insulated",69310,69300,2615
693.11,"Stranded wire, ropes, cables, plaited bands,slings & the like, of iron or steel, not electrically insulated",69311,69300,2616
693.12,"Stranded wire, ropes, cables, plaited bands, slings & the like, of copper, not electrically insulated",69312,69300,2617
693.13,"Stranded wire, ropes, cables, plaited bands,slings and the like, of aluminium, not electrically insulated",69313,69300,2618
693.2,"Barbed wire of iron or steel; twisted hoop/single flat wire, barbed or not, of a kind used for fencing",69320,69300,2619
693.5,"Cloth, grill, netting & fencing, of iron or steel wire; expanded metal of iron or steel",69350,69300,2620
693.51,"Cloth, grill, netting & fencing, of iron or steel wire; expanded metal of iron or steel",69351,69300,2621
693.52,"Cloth, grill, netting & fencing, of copper wire; expanded metal of copper",69352,69300,2622
694,"Nails, screws, nuts, bolts, rivets and the like, of iron, steel, copper or aluminium",69400,69,2623
694.1,"Nails, tacks, drawing pins & sim articles, of iron or steel (inc those with heads of other mat, except copper)",69410,69400,2624
694.2,"Screws, bolts, nuts, screw hooks, rivets, cotters, cotter-pins, coach screws & sim articles of iron or steel",69420,69400,2625
694.21,"Threaded screws, bolts, nuts, screw hooks, rivets, coach screws, cotters, cotter-pins & sim atl, of iron/steel",69421,69400,2626
694.22,"Non-threaded screws, bolts, nuts, rivets, cotters, coach screws, screw hooks, & sim atl, of iron or steel",69422,69400,2627
694.3,"Nails,tacks & sim atl, of copper or of iron/steel with copper heads; screws,bolts,rivets & sim atl, of copper",69430,69400,2628
694.31,"Nails and tacks, drawing pins, staples and similar articles, of copper, or of iron or steel with copper heads",69431,69400,2629
694.32,"Washers (including spring washers) and similar articles of copper, not threaded",69432,69400,2630
694.33,"Screws, bolts and nuts and similar articles of copper, threaded",69433,69400,2631
694.4,"Nails, tacks, staples (o/t of hdg 895.12), screws, bolts, nuts, screw hooks, rivets & sim atl, of aluminium",69440,69400,2632
695,Tools for use in the hand or in machines,69500,69,2633
695.1,"Hand tools of a kind used in agriculture, horticulture or forestry, eg spades, forks, scythes etc",69510,69500,2634
695.2,"Hand saws, files, rasps, pliers, pincers, tweezers metal cutting shears, pipe cutters etc & similar hand tools",69520,69500,2635
695.21,Hand saws,69521,69500,2636
695.22,"Files, rasps and similar tools",69522,69500,2637
695.23,"Pliers, pincers, tweezers, metal cutting shears, pipe-cutters, bolt croppers, perforating punches & the like",69523,69500,2638
695.3,"Spanners & wrenches,hand-operated(inc torque meter wrenches,exc tap wrenches);interchangeable spanner sockets",69530,69500,2639
695.4,"Hand tools nes; blow lamps; vices, clamps etc; anvils, portable forges; hand/pedal-op grinding wheels",69540,69500,2640
695.41,"Hand tools for drilling, threading or tapping",69541,69500,2641
695.42,Hammers and sledge hammers,69542,69500,2642
695.43,"Planes, chisels, gouges and similar cutting tools for working wood",69543,69500,2643
695.44,Screwdrivers,69544,69500,2644
695.45,"Household tools, nes",69545,69500,2645
695.46,Other hand tools (including glaziers' diamonds); blow lamps,69546,69500,2646
695.47,"Vices, clamps and the like",69547,69500,2647
695.48,Anvils; portable forges; hand or pedal-operated grinding wheels with frameworks,69548,69500,2648
695.49,Sets of articles of two or more of the headings of 695.40,69549,69500,2649
695.5,"Blades for saws of all kinds (including slitting, slotting or toothless saw blades)",69550,69500,2650
695.51,Band saw blades,69551,69500,2651
695.52,Circular saw blades (including slitting or slotting saw blades) with working part of steel,69552,69500,2652
695.53,Circular saw blades (including slitting or slotting saw blades) with working part of other materials,69553,69500,2653
695.54,Chain saw blades,69554,69500,2654
695.55,"Straight saw blades, for working metal",69555,69500,2655
695.59,Other saw blades,69559,69500,2656
695.6,"Knives & blades, for m/c & mch apl;interchangeable tools for hand or m/c tools; plates, tips etc for tools",69560,69500,2657
695.61,"Knives and cutting blades, for machines or for mechanical appliances",69561,69500,2658
695.62,"Plates, sticks, tips and the like for tools, unmounted, of sintered metal carbides or cermets",69562,69500,2659
695.63,Rock drilling or earth boring tools,69563,69500,2660
695.64,"Interchangeable tools for hand or m/c-tools(eg for pressing,boring etc)inc dies for drawing or extruding metal",69564,69500,2661
695.7,"Tools of two or more of the headings of subgroups 695.2 to 695.5, put up in sets for retail sale",69570,69500,2662
696,Cutlery,69600,69,2663
696.3,Razors and razor blades (including razor blade blanks in strips),69630,69600,2664
