Label,Notation,Parent Notation
"Processed cheese, not grated or powdered, of a fat content, by weight, of > 36% (excl. processed cheese mixtures made from Emmentaler, Gruyère and Appenzell, with or without the addition of Glarus herb cheese known as Schabziger, put up for retail sale, of a fat content by weight in the dry matter of <= 56%)",4063090,
Cheddar (excl. grated or powdered and for processing),4069021,
"Sheep's or buffalo milk cheese, in containers containing brine, or in sheepskin or goatskin bottles (excl. feta)",4069050,
"Grana Padano and Parmigiano Reggiano, of a fat content by weight of <= 40% and a water content, by weight, of non-fatty matter of <= 47% (excl. grated or powdered and for processing)",4069061,
"Cantal, Cheshire, Wensleydale, Lancashire, Double Gloucester, Blarney, Colby and Monterey, of a fat content by weight of <= 40% and a water content, by weight, of non-fatty matter of > 47% but <= 72% (excl. grated or powdered and for processing)",4069081,
"Poultry eggs, in shell, preserved or cooked",4079010,
"Egg yolks (other than liquid), frozen or otherwise preserved, suitable for human consumption, whether or not containing added sugar or other sweetening matter (excl. dried)",4081989,
"Birds' eggs, not in shell, fresh, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter, suitable for human consumption (excl. dried and egg yolks)",4089980,
Natural honey,4090000,
"Human hair, unworked, whether or not washed or scoured; waste of human hair",5010000,
"Feathers used for stuffing and down, thoroughly cleaned and treated for preservation",5051090,
"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excl. feathers used for stuffing and down)",5059000,
Bovine semen,5111000,
Fish waste,5119110,
"Products of fish or crustaceans, molluscs or other aquatic invertebrates (excl. fish waste); dead fish, crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption",5119190,
"Dormant bulbs, tubers, tuberous roots, corms, crowns and rhizomes (excl. those used for human consumption, hyacinth, narcissi, tulip, gladioli and chicory plants and roots)",6011090,
"Outdoor rooted cuttings and young plants of trees, shrubs and bushes (excl. fruit, nut and forest trees)",6029045,
Indoor rooted cuttings and young plants (excl. cacti),6029070,
"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes",6039000,
"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, fresh, suitable for bouquets or ornamental purposes (excl. Christmas trees and conifer branches)",6042090,
"Mosses and lichens, suitable for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared (excl. reindeer moss)",6049019,
"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, suitable for bouquets or ornamental purposes, dried",6049091,
"Foliage, branches and other parts of plants, without flowers or buds, and grasses, suitable for bouquets or for ornamental purposes, dyed, bleached, impregnated or otherwise prepared (excl. dried)",6049099,
Fresh or chilled new potatoes from 1 January to 30 June,7019050,
"Leeks and other alliaceous vegetables, fresh or chilled (excl. onions, shallots and garlic)",7039000,
Fresh or chilled lettuce (excl. cabbage lettuce),7051900,
"Fresh or chilled peas ""Pisum sativum"", shelled or unshelled",7081000,
"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled",7082000,
Fresh or chilled asparagus,7092000,
"Fresh or chilled aubergines ""eggplants""",7093000,
Fresh or chilled celery (excl. celeriac),7094000,
"Fresh or chilled spinach, New Zealand spinach and orache spinach",7097000,
"Fresh or chilled pumpkins, squash and gourds ""Cucurbita spp."" (excl. courgettes)",7099390,
Fresh or chilled vegetables n.e.s.,7099990,
"Shelled or unshelled peas ""Pisum sativum"", uncooked or cooked by steaming or by boiling in water, frozen",7102100,
"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared (excl. mushrooms of the genus ""Agaricus"", wood ears ""Auricularia spp."" and jelly fungi ""Tremella spp."")",7123900,
"Dried sweetcorn, hybrid, for sowing",7129011,
"Dried vegetables and mixtures of vegetables, whole, cut, sliced, broken or in powder, but not further prepared (excl. potatoes, onions, mushrooms, truffles, sweetcorn, tomatoes and carrots)",7129090,
"Peas, ""Pisum sativum"", dried and shelled, whether or not skinned or split (excl. peas for sowing)",7131090,
"Dried, shelled beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"", whether or not skinned or split",7133100,
"Dried, shelled kidney beans ""Phaseolus vulgaris"", whether or not skinned or split (excl. for sowing)",7133390,
"Dried, shelled beans ""Vigna and Phaseolus"", whether or not skinned or split (excl. beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"", small red ""Adzuki"" beans, kidney beans, Bambara beans and cow peas)",7133900,
"Dried, shelled lentils, whether or not skinned or split",7134000,
"Dried, shelled leguminous vegetables, whether or not skinned or split (excl. peas, chickpeas, beans, lentils, broad beans, horse beans and pigeon peas)",7139000,
"Fresh, chilled, frozen or dried roots and tubers of manioc ""cassava"", whether or not sliced or in the form of pellets",7141000,
"Sweet potatoes, fresh, whole, for human consumption",7142010,
"Taro ""Colocasia spp."", fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",7144000,
"Jerusalem artichokes and similar roots and tubers with high inulin content, fresh, chilled, frozen or dried, even sliced or in the form of pellets, and sago pith (excl. manioc, arrowroot, salep, sweet potatoes, yams, taro and yautia)",7149090,
"Fresh coconuts, whether or not shelled or peeled (excl. in the inner shell ""endocarp"")",8011900,
"Fresh or dried cashew nuts, shelled",8013200,
"Fresh or dried walnuts, shelled",8023200,
"Nuts, fresh or dried, whether or not shelled or peeled (excl. coconuts, Brazil nuts, cashew nuts, almonds, hazelnuts, walnuts, chestnuts ""Castania spp."", pistachios, pecans, areca ""betel"" nuts, cola nuts, pine nuts and macadamia nuts)",8029085,
"Bananas, fresh (excl. plantains)",8039010,
"Bananas, dried (excl. plantains)",8039090,
Fresh or dried dates,8041000,
Fresh figs,8042010,
Fresh or dried pineapples,8043000,
Fresh or dried avocados,8044000,
"Fresh or dried guavas, mangoes and mangosteens",8045000,
Fresh sweet oranges,8051020,
Fresh or dried monreales and satsumas,8052030,
Fresh or dried tangerines,8052070,
"Fresh or dried citrus fruit (excl. oranges, lemons ""Citrus limon, Citrus limonum"", limes ""Citrus aurantifolia, Citrus latifolia"", grapefruit, mandarins, incl. tangerines and satsumas, clementines, wilkings and similar citrus hybrids)",8059000,
Currants,8062010,
Sultanas,8062030,
Fresh melons (excl. watermelons),8071900,
Fresh nectarines,8093010,
Fresh strawberries,8101000,
"Fresh tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya",8109020,
"Frozen fruit and nuts, edible, uncooked or cooked by steaming or boiling in water, not containing added sugar or other sweetening matter (excl. strawberries, raspberries, blackberries, mulberries, loganberries, black, white or red currants, fruits of the species Vaccinium myrtillus, Vaccinium myrtilloides and Vaccinium angustifolium, cherries, gooseberries, guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola, pitahaya, coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, colanuts and macadamia nuts)",8119095,
"Guavas, mangoes, mangosteens, tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola, pitahaya, coconuts, cashew nuts, brazil nuts, areca ""betel"" nuts, cola nuts and macadamia nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions, but unsuitable for immediate consumption",8129070,
Dried apricots,8131000,
Dried prunes,8132000,
Dried apples,8133000,
Dried pears,8134030,
"Dried tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya",8134065,
"Dried fruit, edible (excl. nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, papaws ""papayas"", tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola, pitahaya, citrus fruit, grapes, apricots, plums, apples, pears and peaches, unmixed)",8134095,
"Mixtures of dried fruit, not containing prunes (excl. mixtures of nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, tamarinds, cashew apples, lychees, jackfruit, sapodillo plums, passion fruit, carambola and pitahaya)",8135015,
Coffee (excl. roasted and decaffeinated),9011100,
Decaffeinated coffee (excl. roasted),9011200,
Roasted coffee (excl. decaffeinated),9012100,
"Roasted, decaffeinated coffee",9012200,
Green tea in immediate packings of <= 3 kg,9021000,
Green tea in immediate packings of > 3 kg,9022000,
"Black fermented tea and partly fermented tea, whether or not flavoured, in immediate packings of > 3 kg",9024000,
Mate,9030000,
"Pepper of the genus Piper, neither crushed nor ground",9041100,
"Dried fruit of genus Capsicum or Pimenta, neither crushed nor ground (excl. sweet peppers)",9042190,
"Fruits of the genus Capsicum or of the genus Pimenta, crushed or ground",9042200,
"Vanilla, crushed or ground",9052000,
"Cinnamon and cinnamon-tree flowers (excl. cinnamon ""Cinnamomum zeylanicum Blume"" and crushed and ground cinnamon)",9061900,
Crushed or ground cinnamon and cinnamon-tree flowers,9062000,
"Cardamoms, neither crushed nor ground",9083100,
"Juniper berries and seeds of anise, badian, caraway or fennel, neither crushed nor ground",9096100,
"Ginger, neither crushed nor ground",9101100,
"Ginger, crushed or ground",9101200,
Crushed or ground saffron,9102090,
"Turmeric ""curcuma""",9103000,
"Spices, neither crushed nor ground (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, vanilla, cinnamon, cinnamontree flowers, cloves ""wholefruit"", clove stems, nutmeg, mace, cardamoms, seeds of anise, badian, fennel, coriander, cumin and caraway, and juniper berries, ginger, saffron, turmeric ""curcuma"", thyme, bay leaves, curry and seeds of fenugreek, and mixtures of various types of spices)",9109991,
"Spices, crushed or ground (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, vanilla, cinnamon, cinnamontree flowers, clove ""wholefruit"", clove stems, nutmeg, mace, cardamoms, seeds of anise, badian, fennel, coriander, cumin and caraway, and juniper berries, ginger, saffron, turmeric ""curcuma"", thyme, bay leaves, curry and seeds of fenugreek, and mixtures of various types of spices)",9109999,
"Seed of common wheat or meslin, for sowing",19120,
"Long grain husked [brown] rice, length-width ratio >= 3 (excl. parboiled)",62098,
"Semi-milled medium grain rice, parboiled",63023,
"Semi-milled long grain rice, length-width ratio > 2 but < 3, parboiled",63025,
"Semi-milled long grain rice, length-width ratio >= 3, parboiled",63027,
Semi-milled medium grain rice (excl. parboiled),63044,
"Wholly milled long grain rice, length-width ratio >= 3, parboiled, whether or not polished or glazed",63067,
"Wholly milled round grain rice, whether or not polished or glazed (excl. parboiled)",63092,
"Wholly milled long grain rice, length-width ratio >= 3, whether or not polished or glazed (excl. parboiled)",63098,
"Hybrid grain sorghum, for sowing",71010,
"Millet (excl. grain sorghum, and seed for sowing)",82900,
"Cereals (excl. wheat and meslin, rye, barley, oats, maize, rice, grain sorghum, buckwheat, millet, canary seeds, fonio, quinoa and triticale)",89000,
Rice flour,1029050,
"Cereal flours (excl. wheat, meslin, rye, maize, rice, barley and oat)",1029090,
"Groats and meal of maize, ""corn"", with a fat content, by weight, of > 1,5%",1031390,
Groats and meal of rye or barley,1031920,
Groats and meal of oats,1031940,
Rolled oat grains,1041210,
Flaked oat grains,1041290,
Rolled or flaked wheat grains,1041910,
Flaked rice grains,1041991,
"Rolled or flaked cereal grains (excl. grains of oats, wheat, rye, maize and barley, and flaked rice)",1041999,
"Flour, meal and powder of potatoes",1051000,
"Flour, meal and powder of peas, beans, lentils and the other dried leguminous vegetables of heading 0713",1061000,
"Flour, meal and powder of sago and of root or tubers of manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with a high content of starch or inulin of heading 0714 (excl. denatured)",1062090,
"Flour, meal and powder of produce of chapter 8 ""Edible fruit and nuts; peel of citrus fruits or melons"" (other than bananas)",1063090,
Wheat malt in flour form (excl. roasted),1071011,
"Malt (excl. roasted, wheat and flour)",1071099,
Maize starch,1081200,
"Soya bean seed, for sowing",2011000,
"Soya beans, whether or not broken (excl. seed for sowing)",2019000,
"Groundnuts, shelled, whether or not broken (excl. seed for sowing, roasted or otherwise cooked)",2024200,
Linseed (excl. for sowing),2040090,
"Sunflower seeds, whether or not broken, shelled or in grey and white striped shell (excl. for sowing)",2060091,
"Sunflower seeds, whether or not broken (excl. for sowing, shelled and in grey and white striped shell)",2060099,
"Mustard seeds, whether or not broken (excl. for sowing)",2075090,
Melon seeds,2077000,
"Oil seeds and oleaginous fruits, for sowing (excl. edible nuts, olives, soya beans, groundnuts, copra, linseed, rape or colza seeds, sunflower seeds, palm nuts and kernels, cotton, castor oil, sesamum, mustard, safflower, melon and poppy seeds)",2079920,
"Hemp seeds, whether or not broken (excl. for sowing)",2079991,
"Oil seeds and oleaginous fruits, whether or not broken (excl. for sowing and edible nuts, olives, soya beans, groundnuts, copra, linseed, rape or colza seeds, sunflower seeds, palm nuts and kernels, cotton, castor oil, sesamum, mustard, safflower, melon, poppy and hemp seeds)",2079996,
Flours and meal of oil seeds or oleaginous fruit (excl. soya and mustard),2089000,
"Perennial ryegrass ""Lolium perenne L."", seed for sowing",2092590,
"Timothy grass seed, vetch seed, seeds of the genus Poa palustris L. and Poa trivialis L., seeds of cocksfoot grass ""Dactylis glomerata L."", and seeds of bent grass ""Agrostis"", for sowing",2092945,
"Seeds of herbaceous plants cultivated mainly for flowers, for sowing",2093000,
"Vegetable seeds for sowing (excl. salad beet or beetroot ""Beta vulgaris var. conditiva"")",2099180,
"Hop cones, ground, powdered or in the form of pellets, with higher lupulin content; lupulin",2102010,
"Hop cones, ground powdered or in the form of pellets (excl. with higher lupulin content)",2102090,
"Tonquin beans, fresh or dried, whether or not cut, crushed or powdered",2119030,
"Plants and parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered (excl. ginseng roots, coca leaf, poppy straw, genus Ephedra and tonquin beans)",2119086,
"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, fit for human consumption",2122100,
"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, unfit for human consumption",2122900,
"Fruit stones and kernels and other vegetable products, of a kind used primarily for human consumption, n.e.s.",2129995,
Natural gum Arabic,3012000,
"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excl. gum Arabic)",3019000,
Extracts of hops,3021300,
Vanilla oleoresin,3021905,
"Dry pectic substances, pectinates and pectates in powder form",3022010,
"Agar-agar, whether or not modified",3023100,
"Mucilages and thickeners of guar seeds, whether or not modified",3023290,
"Mucilages and thickeners derived from vegetable products, whether or not modified (excl. from locust beans, locust bean seeds, guar seeds and agar-agar)",3023900,
Cotton linters,4042000,
"Fish fats and oils and liquid fractions, whether or not refined (excl. chemically modified and liver oils)",5042090,
"Wool grease and fatty substances derived therefrom, incl. lanolin (excl. crude wool grease)",5050090,
"Groundnut oil and its fractions, whether or not refined (excl. chemically modified, crude, and for technical or industrial uses)",5089090,
"Olive oil obtained from the fruit of the olive tree solely by mechanical or other physical means under conditions that do not lead to deterioration of the oil, untreated (excl. virgin lampante oil)",5091090,
Olive oil and fractions obtained from the fruit of the olive tree solely by mechanical or other physical means under conditions that do not lead to deterioration of the oil (excl. virgin and chemically modified),5099000,
Crude palm oil (excl. for technical or industrial uses),5111090,
"Solid palm oil fractions, whether or not refined, but not chemically modified, in packings of > 1 kg or put up otherwise",5119019,
"Crude sunflower-seed or safflower oil, for technical or industrial uses (excl. for manufacture of foodstuffs)",5121110,
"Cotton-seed oil and its fractions, whether or not refined, but not chemically modified (excl. for technical or industrial uses and crude)",5122990,
"Crude coconut oil, for technical or industrial uses (excl. for manufacture of foodstuffs)",5131110,
"Crude coconut oil, in immediate packings of <= 1 kg (excl. for technical or industrial uses)",5131191,
