NUTS Geography,Year,ONS Functional Category,Flow Directions,Value
UKI,2012,financial,exports,27511
UKI,2012,administrative-support,exports,3205
UKI,2012,other,exports,931
UKI,2012,all,exports,89833
UKJ,2012,primary-utilities,exports,100
UKJ,2012,manufacturing,exports,1796
UKJ,2012,transport,exports,4068
UKJ,2012,travel,exports,2452
UKJ,2012,construction,exports,602
UKJ,2012,wholesale-motor,exports,2024
UKJ,2012,retail,exports,109
UKJ,2012,information-communication,exports,6467
UKJ,2012,real-estate,exports,5765
UKJ,2012,insurance-pension,exports,4329
UKJ,2012,financial,exports,2469
UKJ,2012,administrative-support,exports,769
UKJ,2012,other,exports,283
UKJ,2012,all,exports,31235
UKK,2012,manufacturing,exports,1183
UKK,2012,transport,exports,1304
UKK,2012,travel,exports,1254
UKK,2012,construction,exports,69
UKK,2012,wholesale-motor,exports,518
UKK,2012,retail,exports,53
UKK,2012,information-communication,exports,583
UKK,2012,real-estate,exports,802
UKK,2012,insurance-pension,exports,1744
UKK,2012,financial,exports,2233
UKK,2012,administrative-support,exports,102
UKK,2012,all,exports,9954
UKL,2012,manufacturing,exports,958
UKL,2012,transport,exports,469
UKL,2012,travel,exports,447
UKL,2012,construction,exports,16
UKL,2012,wholesale-motor,exports,67
UKL,2012,retail,exports,27
UKL,2012,information-communication,exports,202
UKL,2012,real-estate,exports,158
UKL,2012,insurance-pension,exports,1113
UKL,2012,financial,exports,958
UKL,2012,administrative-support,exports,30
UKL,2012,all,exports,4475
UKM,2012,primary-utilities,exports,731
UKM,2012,manufacturing,exports,1217
UKM,2012,transport,exports,1665
UKM,2012,travel,exports,1810
UKM,2012,construction,exports,59
UKM,2012,wholesale-motor,exports,163
UKM,2012,retail,exports,54
UKM,2012,information-communication,exports,576
UKM,2012,real-estate,exports,2310
UKM,2012,insurance-pension,exports,2421
UKM,2012,financial,exports,2778
UKM,2012,administrative-support,exports,317
UKM,2012,other,exports,152
UKM,2012,all,exports,14253
UK,2012,primary-utilities,exports,1061
UK,2012,manufacturing,exports,11776
UK,2012,transport,exports,22757
UK,2012,travel,exports,23270
UK,2012,construction,exports,1762
UK,2012,wholesale-motor,exports,8250
UK,2012,retail,exports,976
