Label,Notation,Parent Notation,Sort Priority,Description
Retail sale of musical instruments and scores in specialised stores,47.59/1,47.59,672,
"Retail sale of furniture, lighting equipment and other household articles (other than musical instruments) n.e.c., in specialised stores",47.59/9,47.59,673,
Retail sale of cultural and recreation goods in specialised stores,47.6,47,674,
Retail sale of books in specialised stores,47.61,47.6,675,
Retail sale of newspapers and stationery in specialised stores,47.62,47.6,676,
Retail sale of music and video recordings in specialised stores,47.63,47.6,677,
Retail sale of sporting equipment in specialised stores,47.64,47.6,678,
Retail sale of games and toys in specialised stores,47.65,47.6,679,
Retail sale of other goods in specialised stores,47.7,47,680,
Retail sale of clothing in specialised stores,47.71,47.7,681,
Retail sale of footwear and leather goods in specialised stores,47.72,47.7,682,
Retail sale of footwear in specialised stores,47.72/1,47.72,683,
Retail sale of leather goods in specialised stores,47.72/2,47.72,684,
Dispensing chemist in specialised stores,47.73,47.7,685,
Retail sale of medical and orthopaedic goods in specialised stores,47.74,47.7,686,
Retail sale of hearing aids in specialised stores,47.74/1,47.74,687,
"Retail sale of medical and orthopaedic goods (other than hearing aids) n.e.c., in specialised stores",47.74/9,47.74,688,
Retail sale of cosmetic and toilet articles in specialised stores,47.75,47.7,689,
"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",47.76,47.7,690,
Retail sale of watches and jewellery in specialised stores,47.77,47.7,691,
Other retail sale of new goods in specialised stores,47.78,47.7,692,
Retail sale in commercial art galleries,47.78/1,47.78,693,
Retail sale by opticians,47.78/2,47.78,694,
"Other retail sale of new goods in specialised stores (other than by opticians or commercial art galleries), n.e.c",47.78/9,47.78,695,
Retail sale of second-hand goods in stores,47.79,47.7,696,
"Retail sale of antiques including antique books, in stores",47.79/1,47.79,697,
Retail sale of second-hand goods (other than antiques and antique books) in stores,47.79/9,47.79,698,
Retail sale via stalls and markets,47.8,47,699,
"Retail sale via stalls and markets of food, beverages and tobacco products",47.81,47.8,700,
"Retail sale via stalls and markets of textiles, clothing and footwear",47.82,47.8,701,
Retail sale via stalls and markets of other goods,47.89,47.8,702,
"Retail trade not in stores, stalls or markets",47.9,47,703,
Retail sale via mail order houses or via Internet,47.91,47.9,704,
"Other retail sale not in stores, stalls or markets",47.99,47.9,705,
TRANSPORTATION AND STORAGE,H,total,706,
Land transport and transport via pipelines,49,H,707,
"Passenger rail transport, interurban",49.1,49,708,
"Passenger rail transport, interurban",49.1,49.1,709,
Freight rail transport,49.2,49,710,
Freight rail transport,49.2,49.2,711,
Other passenger land transport,49.3,49,712,
Urban and suburban passenger land transport,49.31,49.3,713,
"Urban, suburban or metropolitan area passenger railway transportation by underground, metro and similar systems",49.31/1,49.31,714,
"Urban, suburban or metropolitan area passenger land transport other than railway transportation by underground, metro and similar systems",49.31/9,49.31,715,
Taxi operation,49.32,49.3,716,
Other passenger land transport n.e.c.,49.39,49.3,717,
Freight transport by road and removal services,49.4,49,718,
Freight transport by road,49.41,49.4,719,
Removal services,49.42,49.4,720,
Transport via pipeline,49.5,49,721,
Transport via pipeline,49.5,49.5,722,
Water transport,50,H,723,
Sea and coastal passenger water transport,50.1,50,724,
Sea and coastal passenger water transport,50.1,50.1,725,
Sea and coastal freight water transport,50.2,50,726,
Sea and coastal freight water transport,50.2,50.2,727,
Inland passenger water transport,50.3,50,728,
Inland passenger water transport,50.3,50.3,729,
Inland freight water transport,50.4,50,730,
Inland freight water transport,50.4,50.4,731,
Air transport,51,H,732,
Passenger air transport,51.1,51,733,
Passenger air transport,51.1,51.1,734,
Scheduled passenger air transport,51.10/1,51.1,735,
Non-scheduled passenger air transport,51.10/2,51.1,736,
Freight air transport and space transport,51.2,51,737,
Freight air transport,51.21,51.2,738,
Space transport,51.22,51.2,739,
Warehousing and support activities for transportation,52,H,740,
Warehousing and storage,52.1,52,741,
Warehousing and storage,52.1,52.1,742,
Operation of warehousing and storage facilities for water transport activities of division 50,52.10/1,52.1,743,
Operation of warehousing and storage facilities for air transport activities of division 51,52.10/2,52.1,744,
Operation of warehousing and storage facilities for land transport activities of division 49,52.10/3,52.1,745,
Support activities for transportation,52.2,52,746,
Service activities incidental to land transportation,52.21,52.2,747,
Operation of rail freight terminals,52.21/1,52.21,748,
Operation of rail passenger facilities at railway stations,52.21/2,52.21,749,
Operation of bus and coach passenger facilities at bus and coach stations,52.21/3,52.21,750,
"Other service activities incidental to land transportation, n.e.c. (not including operation of rail freight terminals, passenger facilities at railway stations or passenger facilities at bus and coach stations)",52.21/9,52.21,751,
Service activities incidental to water transportation,52.22,52.2,752,
Service activities incidental to air transportation,52.23,52.2,753,
Cargo handling,52.24,52.2,754,
Cargo handling for water transport activities of division 50,52.24/1,52.24,755,
Cargo handling for air transport activities of division 51,52.24/2,52.24,756,
Cargo handling for land transport activities of division 49,52.24/3,52.24,757,
Other transportation support activities,52.29,52.2,758,
Postal and courier activities,53,H,759,
Postal activities under universal service obligation,53.1,53,760,
Postal activities under universal service obligation,53.1,53.1,761,
Other postal and courier activities,53.2,53,762,
Other postal and courier activities,53.2,53.2,763,
Licensed Carriers,53.20/1,53.2,764,
Unlicensed Carriers,53.20/2,53.2,765,
ACCOMMODATION AND FOOD SERVICE ACTIVITIES,I,total,766,
Accommodation,55,I,767,
Hotels and similar accommodation,55.1,55,768,
Hotels and similar accommodation,55.1,55.1,769,
Holiday and other short-stay accommodation,55.2,55,770,
Holiday and other short-stay accommodation,55.2,55.2,771,
Holiday centres and villages,55.20/1,55.2,772,
Youth hostels,55.20/2,55.2,773,
Other holiday and other short-stay accommodation (not including holiday centres and villages or youth hostels) n.e.c.,55.20/9,55.2,774,
"Camping grounds, recreational vehicle parks and trailer parks",55.3,55,775,
"Camping grounds, recreational vehicle parks and trailer parks",55.3,55.3,776,
Other accommodation,55.9,55,777,
Other accommodation,55.9,55.9,778,
Food and beverage service activities,56,I,779,
Restaurants and mobile food service activities,56.1,56,780,
Restaurants and mobile food service activities,56.1,56.1,781,
Licensed restaurants,56.10/1,56.1,782,
Unlicensed restaurants and cafes,56.10/2,56.1,783,
Take away food shops and mobile food stands,56.10/3,56.1,784,
Event catering and other food service activities,56.2,56,785,
Event catering activities,56.21,56.2,786,
Other food service activities,56.29,56.2,787,
Beverage serving activities,56.3,56,788,
Beverage serving activities,56.3,56.3,789,
Licensed clubs,56.30/1,56.3,790,
Public houses and bars,56.30/2,56.3,791,
INFORMATION AND COMMUNICATION,J,total,792,
Publishing activities,58,J,793,
"Publishing of books, periodicals and other publishing activities",58.1,58,794,
Book publishing,58.11,58.1,795,
Publishing of directories and mailing lists,58.12,58.1,796,
Publishing of newspapers,58.13,58.1,797,
Publishing of journals and periodicals,58.14,58.1,798,
Publishing of learned journals,58.14/1,58.14,799,
"Publishing of consumer, business and professional journals and periodicals",58.14/2,58.14,800,
Other publishing activities,58.19,58.1,801,
Software publishing,58.2,58,802,
Publishing of computer games,58.21,58.2,803,
Other software publishing,58.29,58.2,804,
"Motion picture, video and television programme production, sound recording and music publishing activities",59,J,805,
"Motion picture, video and television programme activities",59.1,59,806,
"Motion picture, video and television programme production activities",59.11,59.1,807,
Motion picture production activities,59.11/1,59.11,808,
Video production activities,59.11/2,59.11,809,
Television programme production activities,59.11/3,59.11,810,
"Motion picture, video and television programme post-production activities",59.12,59.1,811,
"Motion picture, video and television programme distribution activities",59.13,59.1,812,
Motion picture distribution activities,59.13/1,59.13,813,
Video distribution activities,59.13/2,59.13,814,
Television programme distribution activities,59.13/3,59.13,815,
Motion picture projection activities,59.14,59.1,816,
Sound recording and music publishing activities,59.2,59,817,
Sound recording and music publishing activities,59.2,59.2,818,
Programming and broadcasting activities,60,J,819,
Radio broadcasting,60.1,60,820,
Radio broadcasting,60.1,60.1,821,
Television programming and broadcasting activities,60.2,60,822,
Television programming and broadcasting activities,60.2,60.2,823,
Telecommunications,61,J,824,
Wired telecommunications activities,61.1,61,825,
Wired telecommunications activities,61.1,61.1,826,
Wireless telecommunications activities,61.2,61,827,
Wireless telecommunications activities,61.2,61.2,828,
Satellite telecommunications activities,61.3,61,829,
Satellite telecommunications activities,61.3,61.3,830,
Other telecommunications activities,61.9,61,831,
Other telecommunications activities,61.9,61.9,832,
"Computer programming, consultancy and related activities",62,J,833,
"Computer programming, consultancy and related activities",62,62,834,
Computer programming activities,62.01,62,835,
Ready-made interactive leisure and entertainment software development,62.01/1,62.01,836,
Business and domestic software development,62.01/2,62.01,837,
Computer consultancy activities,62.02,62,838,
Computer facilities management activities,62.03,62,839,
Other information technology and computer service activities,62.09,62,840,
Information service activities,63,J,841,
"Data processing, hosting and related activities; web portals",63.1,63,842,
"Data processing, hosting and related activities",63.11,63.1,843,
Web portals,63.12,63.1,844,
Other information service activities,63.9,63,845,
News agency activities,63.91,63.9,846,
Other information service activities n.e.c.,63.99,63.9,847,
FINANCIAL AND INSURANCE ACTIVITIES,K,total,848,
"Financial service activities, except insurance and pension funding",64,K,849,
Monetary intermediation,64.1,64,850,
Central banking,64.11,64.1,851,
Other monetary intermediation,64.19,64.1,852,
Banks,64.19/1,64.19,853,
Building societies,64.19/2,64.19,854,
Activities of holding companies,64.2,64,855,
Activities of holding companies,64.2,64.2,856,
Activities of agricultural holding companies,64.20/1,64.2,857,
Activities of production holding companies,64.20/2,64.2,858,
Activities of construction holding companies,64.20/3,64.2,859,
Activities of distribution holding companies,64.20/4,64.2,860,
Activities of financial services holding companies,64.20/5,64.2,861,
"Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.",64.20/9,64.2,862,
"Trusts, funds and similar financial entities",64.3,64,863,
"Trusts, funds and similar financial entities",64.3,64.3,864,
Activities of investment trusts,64.30/1,64.3,865,
