Label,Notation,Parent Notation,Sort Priority,Description
Fermanagh and Omagh,nuts3/UKN16,nuts3/all,161,
Flintshire and Wrexham,nuts3/UKL23,nuts3/all,162,
Glasgow City,nuts3/UKM82,nuts3/all,163,
Gloucestershire,nuts3/UKK13,nuts3/all,164,
Greater Manchester North East,nuts3/UKD37,nuts3/all,165,
Greater Manchester North West,nuts3/UKD36,nuts3/all,166,
Greater Manchester South East,nuts3/UKD35,nuts3/all,167,
Greater Manchester South West,nuts3/UKD34,nuts3/all,168,
Gwent Valleys,nuts3/UKL16,nuts3/all,169,
Gwynedd,nuts3/UKL12,nuts3/all,170,
Hackney and Newham,nuts3/UKI41,nuts3/all,171,
Haringey and Islington,nuts3/UKI43,nuts3/all,172,
Harrow and Hillingdon,nuts3/UKI74,nuts3/all,173,
Hartlepool and Stockton-on-Tees,nuts3/UKC11,nuts3/all,174,
Heart of Essex,nuts3/UKH36,nuts3/all,175,
"Herefordshire, County of",nuts3/UKG11,nuts3/all,176,
Hertfordshire,nuts3/UKH23,nuts3/all,177,
Hounslow and Richmond upon Thames,nuts3/UKI75,nuts3/all,178,
"Inverclyde, East Renfrewshire and Renfrewshire",nuts3/UKM83,nuts3/all,179,
"Inverness and Nairn and Moray, Badenoch and Strathspey",nuts3/UKM62,nuts3/all,180,
Isle of Anglesey,nuts3/UKL11,nuts3/all,181,
Isle of Wight,nuts3/UKJ34,nuts3/all,182,
Kensington & Chelsea and Hammersmith & Fulham,nuts3/UKI33,nuts3/all,183,
Kent Thames Gateway,nuts3/UKJ43,nuts3/all,184,
"Kingston upon Hull, City of",nuts3/UKE11,nuts3/all,185,
Lambeth,nuts3/UKI45,nuts3/all,186,
Lancaster and Wyre,nuts3/UKD44,nuts3/all,187,
Leeds,nuts3/UKE42,nuts3/all,188,
Leicester,nuts3/UKF21,nuts3/all,189,
Leicestershire CC and Rutland,nuts3/UKF22,nuts3/all,190,
Lewisham and Southwark,nuts3/UKI44,nuts3/all,191,
Lincolnshire,nuts3/UKF30,nuts3/all,192,
Lisburn and Castlereagh,nuts3/UKN14,nuts3/all,193,
Liverpool,nuts3/UKD72,nuts3/all,194,
LO BTTA,nuts3/lo-btta,nuts3/all,195,
LO Other,nuts3/lo-other,nuts3/all,196,
"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",nuts3/UKM63,nuts3/all,197,
Luton,nuts3/UKH21,nuts3/all,198,
Manchester,nuts3/UKD33,nuts3/all,199,
Medway,nuts3/UKJ41,nuts3/all,200,
"Merton, Kingston upon Thames and Sutton",nuts3/UKI63,nuts3/all,201,
Mid and East Antrim,nuts3/UKN15,nuts3/all,202,
Mid Kent,nuts3/UKJ45,nuts3/all,203,
Mid Lancashire,nuts3/UKD45,nuts3/all,204,
Mid Ulster,nuts3/UKN11,nuts3/all,205,
Milton Keynes,nuts3/UKJ12,nuts3/all,206,
Monmouthshire and Newport,nuts3/UKL21,nuts3/all,207,
Na h-Eileanan Siar,nuts3/UKM64,nuts3/all,208,
NE BTTA,nuts3/ne-btta,nuts3/all,209,
NE Energy,nuts3/ne-energy,nuts3/all,210,
NE Other,nuts3/ne-other,nuts3/all,211,
"Newry, Mourne and Down",nuts3/UKN08,nuts3/all,212,
NI BTTA,nuts3/ni-btta,nuts3/all,213,
NI Energy,nuts3/ni-energy,nuts3/all,214,
NI Other,nuts3/ni-other,nuts3/all,215,
North and North East Lincolnshire,nuts3/UKE13,nuts3/all,216,
North and West Norfolk,nuts3/UKH16,nuts3/all,217,
North Hampshire,nuts3/UKJ37,nuts3/all,218,
North Lanarkshire,nuts3/UKM84,nuts3/all,219,
North Northamptonshire,nuts3/UKF25,nuts3/all,220,
North Nottinghamshire,nuts3/UKF15,nuts3/all,221,
North Yorkshire CC,nuts3/UKE22,nuts3/all,222,
Northumberland,nuts3/UKC21,nuts3/all,223,
Norwich and East Norfolk,nuts3/UKH15,nuts3/all,224,
Nottingham,nuts3/UKF14,nuts3/all,225,
NW BTTA,nuts3/nw-btta,nuts3/all,226,
NW Energy,nuts3/nw-energy,nuts3/all,227,
NW Other,nuts3/nw-other,nuts3/all,228,
Orkney Islands,nuts3/UKM65,nuts3/all,229,
Oxfordshire,nuts3/UKJ14,nuts3/all,230,
Perth and Kinross and Stirling,nuts3/UKM77,nuts3/all,231,
Peterborough,nuts3/UKH11,nuts3/all,232,
Plymouth,nuts3/UKK41,nuts3/all,233,
Portsmouth,nuts3/UKJ31,nuts3/all,234,
Powys,nuts3/UKL24,nuts3/all,235,
Redbridge and Waltham Forest,nuts3/UKI53,nuts3/all,236,
Sandwell,nuts3/UKG37,nuts3/all,237,
SC BTTA,nuts3/sc-btta,nuts3/all,238,
SC Energy,nuts3/sc-energy,nuts3/all,239,
SC Other,nuts3/sc-other,nuts3/all,240,
Scottish Borders,nuts3/UKM91,nuts3/all,241,
SE BTTA,nuts3/se-btta,nuts3/all,242,
SE Energy,nuts3/se-energy,nuts3/all,243,
SE Other,nuts3/se-other,nuts3/all,244,
Sefton,nuts3/UKD73,nuts3/all,245,
Sheffield,nuts3/UKE32,nuts3/all,246,
Shetland Islands,nuts3/UKM66,nuts3/all,247,
Shropshire CC,nuts3/UKG22,nuts3/all,248,
Solihull,nuts3/UKG32,nuts3/all,249,
Somerset,nuts3/UKK23,nuts3/all,250,
South and West Derbyshire,nuts3/UKF13,nuts3/all,251,
South Ayrshire,nuts3/UKM94,nuts3/all,252,
South Hampshire,nuts3/UKJ35,nuts3/all,253,
South Lanarkshire,nuts3/UKM95,nuts3/all,254,
South Nottinghamshire,nuts3/UKF16,nuts3/all,255,
South Teesside,nuts3/UKC12,nuts3/all,256,
South West Wales,nuts3/UKL14,nuts3/all,257,
Southampton,nuts3/UKJ32,nuts3/all,258,
Southend-on-Sea,nuts3/UKH31,nuts3/all,259,
Staffordshire CC,nuts3/UKG24,nuts3/all,260,
Stoke-on-Trent,nuts3/UKG23,nuts3/all,261,
Suffolk,nuts3/UKH14,nuts3/all,262,
Sunderland,nuts3/UKC23,nuts3/all,263,
SW BTTA,nuts3/sw-btta,nuts3/all,264,
SW Other,nuts3/sw-other,nuts3/all,265,
Swansea,nuts3/UKL18,nuts3/all,266,
Swindon,nuts3/UKK14,nuts3/all,267,
Telford and Wrekin,nuts3/UKG21,nuts3/all,268,
Thurrock,nuts3/UKH32,nuts3/all,269,
Torbay,nuts3/UKK42,nuts3/all,270,
Tower Hamlets,nuts3/UKI42,nuts3/all,271,
Tyneside,nuts3/UKC22,nuts3/all,272,
WA BTTA,nuts3/wa-btta,nuts3/all,273,
WA Energy,nuts3/wa-energy,nuts3/all,274,
WA Other,nuts3/wa-other,nuts3/all,275,
Wakefield,nuts3/UKE45,nuts3/all,276,
Walsall,nuts3/UKG38,nuts3/all,277,
Wandsworth,nuts3/UKI34,nuts3/all,278,
Warrington,nuts3/UKD61,nuts3/all,279,
Warwickshire,nuts3/UKG13,nuts3/all,280,
West Cumbria,nuts3/UKD11,nuts3/all,281,
West Essex,nuts3/UKH35,nuts3/all,282,
West Kent,nuts3/UKJ46,nuts3/all,283,
West Lothian,nuts3/UKM78,nuts3/all,284,
West Northamptonshire,nuts3/UKF24,nuts3/all,285,
West Surrey,nuts3/UKJ25,nuts3/all,286,
West Sussex (North East),nuts3/UKJ28,nuts3/all,287,
West Sussex (South West),nuts3/UKJ27,nuts3/all,288,
Westminster,nuts3/UKI32,nuts3/all,289,
Wiltshire,nuts3/UKK15,nuts3/all,290,
Wirral,nuts3/UKD74,nuts3/all,291,
WM BTTA,nuts3/wm-btta,nuts3/all,292,
WM Other,nuts3/wm-other,nuts3/all,293,
Wolverhampton,nuts3/UKG39,nuts3/all,294,
Worcestershire,nuts3/UKG12,nuts3/all,295,
YH BTTA,nuts3/yh-btta,nuts3/all,296,
YH Energy,nuts3/yh-energy,nuts3/all,297,
YH Other,nuts3/yh-other,nuts3/all,298,
York,nuts3/UKE21,nuts3/all,299
