URI,Notation,Label,Parent URI,Sort Priority
http://data.europa.eu/nuts/code/UKG39,UKG39,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,117
http://data.europa.eu/nuts/code/UKH11,UKH11,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,118
http://data.europa.eu/nuts/code/UKH12,UKH12,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,119
http://data.europa.eu/nuts/code/UKH14,UKH14,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,120
http://data.europa.eu/nuts/code/UKH15,UKH15,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,121
http://data.europa.eu/nuts/code/UKH16,UKH16,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,122
http://data.europa.eu/nuts/code/UKH17,UKH17,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,123
http://data.europa.eu/nuts/code/UKH21,UKH21,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,124
http://data.europa.eu/nuts/code/UKH23,UKH23,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,125
http://data.europa.eu/nuts/code/UKH24,UKH24,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,126
http://data.europa.eu/nuts/code/UKH25,UKH25,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,127
http://data.europa.eu/nuts/code/UKH31,UKH31,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,128
http://data.europa.eu/nuts/code/UKH32,UKH32,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,129
http://data.europa.eu/nuts/code/UKH34,UKH34,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,130
http://data.europa.eu/nuts/code/UKH35,UKH35,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,131
http://data.europa.eu/nuts/code/UKH36,UKH36,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,132
http://data.europa.eu/nuts/code/UKH37,UKH37,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,133
http://data.europa.eu/nuts/code/UKI31,UKI31,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,134
http://data.europa.eu/nuts/code/UKI32,UKI32,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,135
http://data.europa.eu/nuts/code/UKI33,UKI33,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,136
http://data.europa.eu/nuts/code/UKI34,UKI34,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,137
http://data.europa.eu/nuts/code/UKI41,UKI41,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,138
http://data.europa.eu/nuts/code/UKI42,UKI42,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,139
http://data.europa.eu/nuts/code/UKI43,UKI43,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,140
http://data.europa.eu/nuts/code/UKI44,UKI44,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,141
http://data.europa.eu/nuts/code/UKI45,UKI45,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,142
http://data.europa.eu/nuts/code/UKI51,UKI51,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,143
http://data.europa.eu/nuts/code/UKI52,UKI52,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,144
http://data.europa.eu/nuts/code/UKI53,UKI53,,http://gss-data.org.uk/data/gss_data/trade/international-trade-in-services-by-subnational-areas-of-the-uk#concept-scheme/location/nuts,145
