Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2010,BPM5,estonia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2011,BPM5,estonia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2012,BPM6,estonia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2013,BPM6,estonia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2014,BPM6,estonia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2015,BPM6,estonia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2016,BPM6,estonia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2017,BPM6,estonia,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2018,BPM6,estonia,total-net-fdi-in-the-uk,all-activities,1.0,
inward,2019,BPM6,estonia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2010,BPM5,finland,total-net-fdi-in-the-uk,all-activities,62.0,
inward,2011,BPM5,finland,total-net-fdi-in-the-uk,all-activities,42.0,
inward,2012,BPM6,finland,total-net-fdi-in-the-uk,all-activities,44.0,
inward,2013,BPM6,finland,total-net-fdi-in-the-uk,all-activities,139.0,
inward,2014,BPM6,finland,total-net-fdi-in-the-uk,all-activities,46.0,
inward,2015,BPM6,finland,total-net-fdi-in-the-uk,all-activities,68.0,
inward,2016,BPM6,finland,total-net-fdi-in-the-uk,all-activities,-18.0,
inward,2017,BPM6,finland,total-net-fdi-in-the-uk,all-activities,26.0,
inward,2018,BPM6,finland,total-net-fdi-in-the-uk,all-activities,150.0,
inward,2019,BPM6,finland,total-net-fdi-in-the-uk,all-activities,28.0,
inward,2010,BPM5,france,total-net-fdi-in-the-uk,all-activities,-9065.0,
inward,2011,BPM5,france,total-net-fdi-in-the-uk,all-activities,2127.0,
inward,2012,BPM6,france,total-net-fdi-in-the-uk,all-activities,6499.0,
inward,2013,BPM6,france,total-net-fdi-in-the-uk,all-activities,-5115.0,
inward,2014,BPM6,france,total-net-fdi-in-the-uk,all-activities,4290.0,
inward,2015,BPM6,france,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2016,BPM6,france,total-net-fdi-in-the-uk,all-activities,2093.0,
inward,2017,BPM6,france,total-net-fdi-in-the-uk,all-activities,6619.0,
inward,2018,BPM6,france,total-net-fdi-in-the-uk,all-activities,755.0,
inward,2019,BPM6,france,total-net-fdi-in-the-uk,all-activities,7245.0,
inward,2010,BPM5,germany,total-net-fdi-in-the-uk,all-activities,11221.0,
inward,2011,BPM5,germany,total-net-fdi-in-the-uk,all-activities,561.0,
inward,2012,BPM6,germany,total-net-fdi-in-the-uk,all-activities,1358.0,
inward,2013,BPM6,germany,total-net-fdi-in-the-uk,all-activities,2790.0,
inward,2014,BPM6,germany,total-net-fdi-in-the-uk,all-activities,976.0,
inward,2015,BPM6,germany,total-net-fdi-in-the-uk,all-activities,4978.0,
inward,2016,BPM6,germany,total-net-fdi-in-the-uk,all-activities,2731.0,
inward,2017,BPM6,germany,total-net-fdi-in-the-uk,all-activities,5381.0,
inward,2018,BPM6,germany,total-net-fdi-in-the-uk,all-activities,1093.0,
inward,2019,BPM6,germany,total-net-fdi-in-the-uk,all-activities,6018.0,
inward,2010,BPM5,greece,total-net-fdi-in-the-uk,all-activities,-193.0,
inward,2011,BPM5,greece,total-net-fdi-in-the-uk,all-activities,-387.0,
inward,2012,BPM6,greece,total-net-fdi-in-the-uk,all-activities,178.0,
inward,2013,BPM6,greece,total-net-fdi-in-the-uk,all-activities,-10.0,
inward,2014,BPM6,greece,total-net-fdi-in-the-uk,all-activities,3.0,
inward,2015,BPM6,greece,total-net-fdi-in-the-uk,all-activities,21.0,
inward,2016,BPM6,greece,total-net-fdi-in-the-uk,all-activities,30.0,
inward,2017,BPM6,greece,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2018,BPM6,greece,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2019,BPM6,greece,total-net-fdi-in-the-uk,all-activities,242.0,
inward,2010,BPM5,hungary,total-net-fdi-in-the-uk,all-activities,-34.0,
inward,2011,BPM5,hungary,total-net-fdi-in-the-uk,all-activities,5.0,
inward,2012,BPM6,hungary,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2013,BPM6,hungary,total-net-fdi-in-the-uk,all-activities,-20.0,
inward,2014,BPM6,hungary,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2015,BPM6,hungary,total-net-fdi-in-the-uk,all-activities,7.0,
inward,2016,BPM6,hungary,total-net-fdi-in-the-uk,all-activities,10.0,
inward,2017,BPM6,hungary,total-net-fdi-in-the-uk,all-activities,-2.0,
inward,2018,BPM6,hungary,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2019,BPM6,hungary,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2010,BPM5,irish-republic,total-net-fdi-in-the-uk,all-activities,3408.0,
inward,2011,BPM5,irish-republic,total-net-fdi-in-the-uk,all-activities,216.0,
inward,2012,BPM6,irish-republic,total-net-fdi-in-the-uk,all-activities,634.0,
inward,2013,BPM6,irish-republic,total-net-fdi-in-the-uk,all-activities,98.0,
inward,2014,BPM6,irish-republic,total-net-fdi-in-the-uk,all-activities,35.0,
inward,2015,BPM6,irish-republic,total-net-fdi-in-the-uk,all-activities,681.0,
inward,2016,BPM6,irish-republic,total-net-fdi-in-the-uk,all-activities,-599.0,
inward,2017,BPM6,irish-republic,total-net-fdi-in-the-uk,all-activities,731.0,
inward,2018,BPM6,irish-republic,total-net-fdi-in-the-uk,all-activities,-1270.0,
inward,2019,BPM6,irish-republic,total-net-fdi-in-the-uk,all-activities,1627.0,
inward,2010,BPM5,italy,total-net-fdi-in-the-uk,all-activities,467.0,
inward,2011,BPM5,italy,total-net-fdi-in-the-uk,all-activities,-1372.0,
inward,2012,BPM6,italy,total-net-fdi-in-the-uk,all-activities,1082.0,
inward,2013,BPM6,italy,total-net-fdi-in-the-uk,all-activities,775.0,
inward,2014,BPM6,italy,total-net-fdi-in-the-uk,all-activities,226.0,
inward,2015,BPM6,italy,total-net-fdi-in-the-uk,all-activities,228.0,
inward,2016,BPM6,italy,total-net-fdi-in-the-uk,all-activities,333.0,
inward,2017,BPM6,italy,total-net-fdi-in-the-uk,all-activities,714.0,
inward,2018,BPM6,italy,total-net-fdi-in-the-uk,all-activities,-126.0,
inward,2019,BPM6,italy,total-net-fdi-in-the-uk,all-activities,622.0,
inward,2010,BPM5,latvia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2011,BPM5,latvia,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2012,BPM6,latvia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2013,BPM6,latvia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2014,BPM6,latvia,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2015,BPM6,latvia,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2016,BPM6,latvia,total-net-fdi-in-the-uk,all-activities,1.0,
inward,2017,BPM6,latvia,total-net-fdi-in-the-uk,all-activities,-3.0,
inward,2018,BPM6,latvia,total-net-fdi-in-the-uk,all-activities,2.0,
inward,2019,BPM6,latvia,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2010,BPM5,lithuania,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2011,BPM5,lithuania,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2012,BPM6,lithuania,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2013,BPM6,lithuania,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2014,BPM6,lithuania,total-net-fdi-in-the-uk,all-activities,,disclosive
inward,2015,BPM6,lithuania,total-net-fdi-in-the-uk,all-activities,,itis-nil
inward,2016,BPM6,lithuania,total-net-fdi-in-the-uk,all-activities,1.0,
inward,2017,BPM6,lithuania,total-net-fdi-in-the-uk,all-activities,-1.0,
inward,2018,BPM6,lithuania,total-net-fdi-in-the-uk,all-activities,1.0,
inward,2019,BPM6,lithuania,total-net-fdi-in-the-uk,all-activities,12.0,
inward,2010,BPM5,luxembourg,total-net-fdi-in-the-uk,all-activities,-4246.0,
inward,2011,BPM5,luxembourg,total-net-fdi-in-the-uk,all-activities,3693.0,
inward,2012,BPM6,luxembourg,total-net-fdi-in-the-uk,all-activities,4870.0,
inward,2013,BPM6,luxembourg,total-net-fdi-in-the-uk,all-activities,-1040.0,
inward,2014,BPM6,luxembourg,total-net-fdi-in-the-uk,all-activities,1107.0,
inward,2015,BPM6,luxembourg,total-net-fdi-in-the-uk,all-activities,-850.0,
inward,2016,BPM6,luxembourg,total-net-fdi-in-the-uk,all-activities,18415.0,
