Investment Direction,Year,International Trade Basis,FDI Area,FDI Component,FDI Industry,Value,Marker
inward,2010,BPM5,Estonia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2011,BPM5,Estonia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2012,BPM6,Estonia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2013,BPM6,Estonia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2014,BPM6,Estonia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2015,BPM6,Estonia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2016,BPM6,Estonia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2017,BPM6,Estonia,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2018,BPM6,Estonia,Total Net Fdi In The Uk,All Activities,1.0,
inward,2019,BPM6,Estonia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2010,BPM5,Finland,Total Net Fdi In The Uk,All Activities,62.0,
inward,2011,BPM5,Finland,Total Net Fdi In The Uk,All Activities,42.0,
inward,2012,BPM6,Finland,Total Net Fdi In The Uk,All Activities,44.0,
inward,2013,BPM6,Finland,Total Net Fdi In The Uk,All Activities,139.0,
inward,2014,BPM6,Finland,Total Net Fdi In The Uk,All Activities,46.0,
inward,2015,BPM6,Finland,Total Net Fdi In The Uk,All Activities,68.0,
inward,2016,BPM6,Finland,Total Net Fdi In The Uk,All Activities,-18.0,
inward,2017,BPM6,Finland,Total Net Fdi In The Uk,All Activities,26.0,
inward,2018,BPM6,Finland,Total Net Fdi In The Uk,All Activities,150.0,
inward,2019,BPM6,Finland,Total Net Fdi In The Uk,All Activities,28.0,
inward,2010,BPM5,France,Total Net Fdi In The Uk,All Activities,-9065.0,
inward,2011,BPM5,France,Total Net Fdi In The Uk,All Activities,2127.0,
inward,2012,BPM6,France,Total Net Fdi In The Uk,All Activities,6499.0,
inward,2013,BPM6,France,Total Net Fdi In The Uk,All Activities,-5115.0,
inward,2014,BPM6,France,Total Net Fdi In The Uk,All Activities,4290.0,
inward,2015,BPM6,France,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2016,BPM6,France,Total Net Fdi In The Uk,All Activities,2093.0,
inward,2017,BPM6,France,Total Net Fdi In The Uk,All Activities,6619.0,
inward,2018,BPM6,France,Total Net Fdi In The Uk,All Activities,755.0,
inward,2019,BPM6,France,Total Net Fdi In The Uk,All Activities,7245.0,
inward,2010,BPM5,Germany,Total Net Fdi In The Uk,All Activities,11221.0,
inward,2011,BPM5,Germany,Total Net Fdi In The Uk,All Activities,561.0,
inward,2012,BPM6,Germany,Total Net Fdi In The Uk,All Activities,1358.0,
inward,2013,BPM6,Germany,Total Net Fdi In The Uk,All Activities,2790.0,
inward,2014,BPM6,Germany,Total Net Fdi In The Uk,All Activities,976.0,
inward,2015,BPM6,Germany,Total Net Fdi In The Uk,All Activities,4978.0,
inward,2016,BPM6,Germany,Total Net Fdi In The Uk,All Activities,2731.0,
inward,2017,BPM6,Germany,Total Net Fdi In The Uk,All Activities,5381.0,
inward,2018,BPM6,Germany,Total Net Fdi In The Uk,All Activities,1093.0,
inward,2019,BPM6,Germany,Total Net Fdi In The Uk,All Activities,6018.0,
inward,2010,BPM5,Greece,Total Net Fdi In The Uk,All Activities,-193.0,
inward,2011,BPM5,Greece,Total Net Fdi In The Uk,All Activities,-387.0,
inward,2012,BPM6,Greece,Total Net Fdi In The Uk,All Activities,178.0,
inward,2013,BPM6,Greece,Total Net Fdi In The Uk,All Activities,-10.0,
inward,2014,BPM6,Greece,Total Net Fdi In The Uk,All Activities,3.0,
inward,2015,BPM6,Greece,Total Net Fdi In The Uk,All Activities,21.0,
inward,2016,BPM6,Greece,Total Net Fdi In The Uk,All Activities,30.0,
inward,2017,BPM6,Greece,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2018,BPM6,Greece,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2019,BPM6,Greece,Total Net Fdi In The Uk,All Activities,242.0,
inward,2010,BPM5,Hungary,Total Net Fdi In The Uk,All Activities,-34.0,
inward,2011,BPM5,Hungary,Total Net Fdi In The Uk,All Activities,5.0,
inward,2012,BPM6,Hungary,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2013,BPM6,Hungary,Total Net Fdi In The Uk,All Activities,-20.0,
inward,2014,BPM6,Hungary,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2015,BPM6,Hungary,Total Net Fdi In The Uk,All Activities,7.0,
inward,2016,BPM6,Hungary,Total Net Fdi In The Uk,All Activities,10.0,
inward,2017,BPM6,Hungary,Total Net Fdi In The Uk,All Activities,-2.0,
inward,2018,BPM6,Hungary,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2019,BPM6,Hungary,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2010,BPM5,Irish Republic,Total Net Fdi In The Uk,All Activities,3408.0,
inward,2011,BPM5,Irish Republic,Total Net Fdi In The Uk,All Activities,216.0,
inward,2012,BPM6,Irish Republic,Total Net Fdi In The Uk,All Activities,634.0,
inward,2013,BPM6,Irish Republic,Total Net Fdi In The Uk,All Activities,98.0,
inward,2014,BPM6,Irish Republic,Total Net Fdi In The Uk,All Activities,35.0,
inward,2015,BPM6,Irish Republic,Total Net Fdi In The Uk,All Activities,681.0,
inward,2016,BPM6,Irish Republic,Total Net Fdi In The Uk,All Activities,-599.0,
inward,2017,BPM6,Irish Republic,Total Net Fdi In The Uk,All Activities,731.0,
inward,2018,BPM6,Irish Republic,Total Net Fdi In The Uk,All Activities,-1270.0,
inward,2019,BPM6,Irish Republic,Total Net Fdi In The Uk,All Activities,1627.0,
inward,2010,BPM5,Italy,Total Net Fdi In The Uk,All Activities,467.0,
inward,2011,BPM5,Italy,Total Net Fdi In The Uk,All Activities,-1372.0,
inward,2012,BPM6,Italy,Total Net Fdi In The Uk,All Activities,1082.0,
inward,2013,BPM6,Italy,Total Net Fdi In The Uk,All Activities,775.0,
inward,2014,BPM6,Italy,Total Net Fdi In The Uk,All Activities,226.0,
inward,2015,BPM6,Italy,Total Net Fdi In The Uk,All Activities,228.0,
inward,2016,BPM6,Italy,Total Net Fdi In The Uk,All Activities,333.0,
inward,2017,BPM6,Italy,Total Net Fdi In The Uk,All Activities,714.0,
inward,2018,BPM6,Italy,Total Net Fdi In The Uk,All Activities,-126.0,
inward,2019,BPM6,Italy,Total Net Fdi In The Uk,All Activities,622.0,
inward,2010,BPM5,Latvia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2011,BPM5,Latvia,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2012,BPM6,Latvia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2013,BPM6,Latvia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2014,BPM6,Latvia,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2015,BPM6,Latvia,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2016,BPM6,Latvia,Total Net Fdi In The Uk,All Activities,1.0,
inward,2017,BPM6,Latvia,Total Net Fdi In The Uk,All Activities,-3.0,
inward,2018,BPM6,Latvia,Total Net Fdi In The Uk,All Activities,2.0,
inward,2019,BPM6,Latvia,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2010,BPM5,Lithuania,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2011,BPM5,Lithuania,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2012,BPM6,Lithuania,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2013,BPM6,Lithuania,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2014,BPM6,Lithuania,Total Net Fdi In The Uk,All Activities,,disclosive
inward,2015,BPM6,Lithuania,Total Net Fdi In The Uk,All Activities,,itis-nil
inward,2016,BPM6,Lithuania,Total Net Fdi In The Uk,All Activities,1.0,
inward,2017,BPM6,Lithuania,Total Net Fdi In The Uk,All Activities,-1.0,
inward,2018,BPM6,Lithuania,Total Net Fdi In The Uk,All Activities,1.0,
inward,2019,BPM6,Lithuania,Total Net Fdi In The Uk,All Activities,12.0,
inward,2010,BPM5,Luxembourg,Total Net Fdi In The Uk,All Activities,-4246.0,
inward,2011,BPM5,Luxembourg,Total Net Fdi In The Uk,All Activities,3693.0,
inward,2012,BPM6,Luxembourg,Total Net Fdi In The Uk,All Activities,4870.0,
inward,2013,BPM6,Luxembourg,Total Net Fdi In The Uk,All Activities,-1040.0,
inward,2014,BPM6,Luxembourg,Total Net Fdi In The Uk,All Activities,1107.0,
inward,2015,BPM6,Luxembourg,Total Net Fdi In The Uk,All Activities,-850.0,
inward,2016,BPM6,Luxembourg,Total Net Fdi In The Uk,All Activities,18415.0,
